Mes,Punto de Cambio,Estadística de Worsley
January,2011,106.3605588839149
February,2014,149.34108395684305
March,2011,128.68244556946942
April,2013,164.04031772771702
May,2017,118.94605527678878
June,2011,196.66506242047876
July,2011,208.53203705681472
August,2002,128.38960414939396
September,2013,121.32593908161297
October,2008,266.108691267018
November,2013,193.75001432500423
December,2011,189.0463937879781
