Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2002,209.93312591859942
Febrero,2016,215.26603321488318
Marzo,2016,287.9370342663115
Abril,2001,339.87401062233624
Mayo,2016,303.08486411048096
Junio,2000,216.0845825538135
Julio,2011,198.79527368322758
Agosto,2017,374.93455889794535
Septiembre,2015,287.24652763025324
Octubre,2014,174.6890523756893
Noviembre,2002,369.9706916258013
Diciembre,2018,149.22119289242693
