Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23190710,2000-01,Enero,2000,0.0,0.0,23190580,1.0
23190710,2000-02,Febrero,2000,11.0,11.0,,1.0
23190710,2000-03,Marzo,2000,0.0,0.0,23190580,0.47967594446402584
23190710,2000-04,Abril,2000,304.0,408.399152739739,23190580,1.3434182655912468
23190710,2000-05,Mayo,2000,196.0,196.0,,1.0
23190710,2000-06,Junio,2000,278.0,278.0,23190580,1.0
23190710,2000-07,Julio,2000,88.0,88.0,,1.0
23190710,2000-08,Agosto,2000,102.0,102.0,,1.0
23190710,2000-09,Septiembre,2000,259.0,257.12594069407527,23190580,0.9927642497840743
23190710,2000-10,Octubre,2000,53.0,inf,23190580,inf
23190710,2000-11,Noviembre,2000,289.0,289.0,,1.0
23190710,2000-12,Diciembre,2000,149.0,inf,23190580,inf
23190710,2001-01,Enero,2001,15.0,15.0,23190580,1.0
23190710,2001-02,Febrero,2001,0.0,0.0,,1.0
23190710,2001-03,Marzo,2001,89.0,42.6911590572983,23190580,0.47967594446402584
23190710,2001-04,Abril,2001,235.0,315.703292413943,23190580,1.3434182655912468
23190710,2001-05,Mayo,2001,478.0,478.0,,1.0
23190710,2001-06,Junio,2001,233.0,233.0,23190580,1.0
23190710,2001-07,Julio,2001,144.0,144.0,,1.0
23190710,2001-08,Agosto,2001,112.0,112.0,,1.0
23190710,2001-09,Septiembre,2001,440.0,436.8162699049927,23190580,0.9927642497840743
23190710,2001-10,Octubre,2001,160.0,160.0,23190580,1.0
23190710,2001-11,Noviembre,2001,59.0,59.0,,1.0
23190710,2001-12,Diciembre,2001,86.0,86.0,23190580,1.0
23190710,2002-01,Enero,2002,0.0,0.0,23190580,1.0
23190710,2002-02,Febrero,2002,5.0,5.0,,1.0
23190710,2002-03,Marzo,2002,89.0,42.6911590572983,23190580,0.47967594446402584
23190710,2002-04,Abril,2002,49.0,65.82749501397109,23190580,1.3434182655912468
23190710,2002-05,Mayo,2002,236.0,236.0,,1.0
23190710,2002-06,Junio,2002,159.0,159.0,23190580,1.0
23190710,2002-07,Julio,2002,33.0,33.0,,1.0
23190710,2002-08,Agosto,2002,168.0,168.0,,1.0
23190710,2002-09,Septiembre,2002,246.0,244.22000544688228,23190580,0.9927642497840743
23190710,2002-10,Octubre,2002,288.0,288.0,23190580,1.0
23190710,2002-11,Noviembre,2002,249.0,249.0,,1.0
23190710,2002-12,Diciembre,2002,42.0,42.0,23190580,1.0
23190710,2003-01,Enero,2003,0.0,0.0,23190580,1.0
23190710,2003-02,Febrero,2003,2.0,2.0,,1.0
23190710,2003-03,Marzo,2003,14.0,6.7154632224963615,23190580,0.47967594446402584
23190710,2003-04,Abril,2003,114.0,153.14968227740212,23190580,1.3434182655912468
23190710,2003-05,Mayo,2003,391.0,391.0,,1.0
23190710,2003-06,Junio,2003,140.0,140.0,23190580,1.0
23190710,2003-07,Julio,2003,325.0,325.0,,1.0
23190710,2003-08,Agosto,2003,304.0,304.0,,1.0
23190710,2003-09,Septiembre,2003,367.0,364.3444796707553,23190580,0.9927642497840743
23190710,2003-10,Octubre,2003,231.0,231.0,23190580,1.0
23190710,2003-11,Noviembre,2003,181.0,181.0,,1.0
23190710,2003-12,Diciembre,2003,14.0,14.0,23190580,1.0
23190710,2004-01,Enero,2004,0.0,0.0,23190580,1.0
23190710,2004-02,Febrero,2004,8.0,8.0,,1.0
23190710,2004-03,Marzo,2004,0.0,0.0,23190580,0.47967594446402584
23190710,2004-04,Abril,2004,299.0,401.6820614117828,23190580,1.3434182655912468
23190710,2004-05,Mayo,2004,311.0,311.0,,1.0
23190710,2004-06,Junio,2004,39.0,39.0,23190580,1.0
23190710,2004-07,Julio,2004,207.0,207.0,,1.0
23190710,2004-08,Agosto,2004,164.0,164.0,,1.0
23190710,2004-09,Septiembre,2004,240.0,238.26341994817784,23190580,0.9927642497840743
23190710,2004-10,Octubre,2004,234.0,234.0,23190580,1.0
23190710,2004-11,Noviembre,2004,135.0,135.0,,1.0
23190710,2004-12,Diciembre,2004,0.0,0.0,23190580,1.0
23190710,2005-01,Enero,2005,6.0,6.0,23190580,1.0
23190710,2005-02,Febrero,2005,6.0,6.0,,1.0
23190710,2005-03,Marzo,2005,51.0,51.0,23190580,1.0
23190710,2005-04,Abril,2005,229.0,307.6427828203955,23190580,1.3434182655912468
23190710,2005-05,Mayo,2005,394.0,394.0,,1.0
23190710,2005-06,Junio,2005,183.0,183.0,23190580,1.0
23190710,2005-07,Julio,2005,259.0,259.0,,1.0
23190710,2005-08,Agosto,2005,271.0,271.0,,1.0
23190710,2005-09,Septiembre,2005,247.0,245.21276969666636,23190580,0.9927642497840743
23190710,2005-10,Octubre,2005,368.0,368.0,23190580,1.0
23190710,2005-11,Noviembre,2005,334.0,334.0,,1.0
23190710,2005-12,Diciembre,2005,4.0,4.0,23190580,1.0
23190710,2006-01,Enero,2006,17.0,17.0,23190580,1.0
23190710,2006-02,Febrero,2006,5.0,5.0,,1.0
23190710,2006-03,Marzo,2006,121.0,121.0,23190580,1.0
23190710,2006-04,Abril,2006,194.0,260.6231435247019,23190580,1.3434182655912468
23190710,2006-05,Mayo,2006,238.0,238.0,,1.0
23190710,2006-06,Junio,2006,323.0,323.0,23190580,1.0
23190710,2006-07,Julio,2006,137.0,137.0,,1.0
23190710,2006-08,Agosto,2006,443.0,443.0,,1.0
23190710,2006-09,Septiembre,2006,283.0,280.95228268889304,23190580,0.9927642497840743
23190710,2006-10,Octubre,2006,194.0,194.0,23190580,1.0
23190710,2006-11,Noviembre,2006,195.0,195.0,,1.0
23190710,2006-12,Diciembre,2006,72.0,72.0,23190580,1.0
23190710,2007-01,Enero,2007,0.0,0.0,23190580,1.0
23190710,2007-02,Febrero,2007,1.0,1.0,,1.0
23190710,2007-03,Marzo,2007,114.0,114.0,23190580,1.0
23190710,2007-04,Abril,2007,263.0,353.3190038504979,23190580,1.3434182655912468
23190710,2007-05,Mayo,2007,371.0,371.0,,1.0
23190710,2007-06,Junio,2007,272.0,272.0,23190580,1.0
23190710,2007-07,Julio,2007,235.0,235.0,,1.0
23190710,2007-08,Agosto,2007,268.0,268.0,,1.0
23190710,2007-09,Septiembre,2007,379.0,376.25765066816416,23190580,0.9927642497840743
23190710,2007-10,Octubre,2007,230.0,230.0,23190580,1.0
23190710,2007-11,Noviembre,2007,82.0,82.0,,1.0
23190710,2007-12,Diciembre,2007,86.0,86.0,23190580,1.0
23190710,2008-01,Enero,2008,16.0,16.0,23190580,1.0
23190710,2008-02,Febrero,2008,1.0,1.0,,1.0
23190710,2008-03,Marzo,2008,110.0,110.0,23190580,1.0
23190710,2008-04,Abril,2008,124.0,166.5838649333146,23190580,1.3434182655912468
23190710,2008-05,Mayo,2008,371.0,371.0,,1.0
23190710,2008-06,Junio,2008,237.0,237.0,23190580,1.0
23190710,2008-07,Julio,2008,365.0,365.0,,1.0
23190710,2008-08,Agosto,2008,345.0,345.0,,1.0
23190710,2008-09,Septiembre,2008,455.0,455.0,23190580,1.0
23190710,2008-10,Octubre,2008,161.0,161.0,23190580,1.0
23190710,2008-11,Noviembre,2008,217.0,217.0,,1.0
23190710,2008-12,Diciembre,2008,1.0,1.0,23190580,1.0
23190710,2009-01,Enero,2009,26.0,26.0,23190580,1.0
23190710,2009-02,Febrero,2009,0.0,0.0,,1.0
23190710,2009-03,Marzo,2009,30.0,30.0,23190580,1.0
23190710,2009-04,Abril,2009,36.0,36.0,23190580,1.0
23190710,2009-05,Mayo,2009,344.0,344.0,,1.0
23190710,2009-06,Junio,2009,219.0,219.0,23190580,1.0
23190710,2009-07,Julio,2009,105.0,105.0,,1.0
23190710,2009-08,Agosto,2009,302.0,302.0,,1.0
23190710,2009-09,Septiembre,2009,119.0,119.0,23190580,1.0
23190710,2009-10,Octubre,2009,227.0,227.0,23190580,1.0
23190710,2009-11,Noviembre,2009,225.0,225.0,,1.0
23190710,2009-12,Diciembre,2009,14.0,14.0,23190580,1.0
23190710,2010-01,Enero,2010,3.0,3.0,23190580,1.0
23190710,2010-02,Febrero,2010,1.0,1.0,,1.0
23190710,2010-03,Marzo,2010,151.0,151.0,23190580,1.0
23190710,2010-04,Abril,2010,303.0,303.0,23190580,1.0
23190710,2010-05,Mayo,2010,591.0,591.0,,1.0
23190710,2010-06,Junio,2010,444.0,444.0,23190580,1.0
23190710,2010-07,Julio,2010,303.0,303.0,,1.0
23190710,2010-08,Agosto,2010,441.0,441.0,,1.0
23190710,2010-09,Septiembre,2010,292.0,292.0,23190580,1.0
23190710,2010-10,Octubre,2010,286.0,286.0,23190580,1.0
23190710,2010-11,Noviembre,2010,236.0,236.0,,1.0
23190710,2010-12,Diciembre,2010,26.0,26.0,23190580,1.0
23190710,2011-01,Enero,2011,3.0,3.0,23190580,1.0
23190710,2011-02,Febrero,2011,100.0,100.0,,1.0
23190710,2011-03,Marzo,2011,35.0,35.0,23190580,1.0
23190710,2011-04,Abril,2011,313.0,313.0,23190580,1.0
23190710,2011-05,Mayo,2011,239.0,239.0,,1.0
23190710,2011-06,Junio,2011,382.0,382.0,23190580,1.0
23190710,2011-07,Julio,2011,311.0,311.0,,1.0
23190710,2011-08,Agosto,2011,328.0,328.0,,1.0
23190710,2011-09,Septiembre,2011,269.0,269.0,23190580,1.0
23190710,2011-10,Octubre,2011,344.0,344.0,23190580,1.0
23190710,2011-11,Noviembre,2011,372.0,372.0,,1.0
23190710,2011-12,Diciembre,2011,110.0,110.0,23190580,1.0
23190710,2012-01,Enero,2012,0.0,0.0,23190580,1.0
23190710,2012-02,Febrero,2012,16.0,16.0,,1.0
23190710,2012-03,Marzo,2012,27.0,27.0,23190580,1.0
23190710,2012-04,Abril,2012,422.0,422.0,23190580,1.0
23190710,2012-05,Mayo,2012,287.8,287.8,,1.0
23190710,2012-06,Junio,2012,202.0,238.3769260209147,23190580,1.180083792182746
23190710,2012-07,Julio,2012,182.0,182.0,,1.0
23190710,2012-08,Agosto,2012,321.0,321.0,,1.0
23190710,2012-09,Septiembre,2012,129.0,129.0,23190580,1.0
23190710,2012-10,Octubre,2012,166.0,166.0,23190580,1.0
23190710,2012-11,Noviembre,2012,60.0,60.0,,1.0
23190710,2012-12,Diciembre,2012,17.0,17.0,23190580,1.0
23190710,2013-01,Enero,2013,0.0,0.0,23190580,1.0
23190710,2013-02,Febrero,2013,20.0,20.0,,1.0
23190710,2013-03,Marzo,2013,168.0,168.0,23190580,1.0
23190710,2013-04,Abril,2013,74.0,74.0,23190580,1.0
23190710,2013-05,Mayo,2013,371.0,371.0,,1.0
23190710,2013-06,Junio,2013,133.0,156.95114436030522,23190580,1.180083792182746
23190710,2013-07,Julio,2013,60.0,60.0,,1.0
23190710,2013-08,Agosto,2013,332.0,332.0,,1.0
23190710,2013-09,Septiembre,2013,297.0,297.0,23190580,1.0
23190710,2013-10,Octubre,2013,343.0,343.0,23190580,1.0
23190710,2013-11,Noviembre,2013,127.0,127.0,,1.0
23190710,2013-12,Diciembre,2013,4.0,4.0,23190580,1.0
23190710,2014-01,Enero,2014,20.0,20.0,23190580,1.0
23190710,2014-02,Febrero,2014,7.0,7.0,,1.0
23190710,2014-03,Marzo,2014,19.0,19.0,23190580,1.0
23190710,2014-04,Abril,2014,201.0,201.0,23190580,1.0
23190710,2014-05,Mayo,2014,340.0,340.0,,1.0
23190710,2014-06,Junio,2014,58.0,68.44485994659927,23190580,1.180083792182746
23190710,2014-07,Julio,2014,89.0,89.0,,1.0
23190710,2014-08,Agosto,2014,142.0,142.0,,1.0
23190710,2014-09,Septiembre,2014,187.0,187.0,23190580,1.0
23190710,2014-10,Octubre,2014,307.0,307.0,23190580,1.0
23190710,2014-11,Noviembre,2014,77.0,77.0,,1.0
23190710,2014-12,Diciembre,2014,106.0,106.0,23190580,1.0
23190710,2015-01,Enero,2015,6.0,6.0,23190580,1.0
23190710,2015-02,Febrero,2015,82.0,82.0,,1.0
23190710,2015-03,Marzo,2015,49.0,49.0,23190580,1.0
23190710,2015-04,Abril,2015,207.0,207.0,23190580,1.0
23190710,2015-05,Mayo,2015,156.0,156.0,,1.0
23190710,2015-06,Junio,2015,119.0,140.42997126974677,23190580,1.180083792182746
23190710,2015-07,Julio,2015,74.0,74.0,,1.0
23190710,2015-08,Agosto,2015,189.0,189.0,,1.0
23190710,2015-09,Septiembre,2015,229.0,229.0,23190580,1.0
23190710,2015-10,Octubre,2015,185.0,185.0,23190580,1.0
23190710,2015-11,Noviembre,2015,117.0,117.0,,1.0
23190710,2015-12,Diciembre,2015,15.0,15.0,23190580,1.0
23190710,2016-01,Enero,2016,7.0,7.0,23190580,1.0
23190710,2016-02,Febrero,2016,0.0,0.0,,1.0
23190710,2016-03,Marzo,2016,36.0,36.0,23190580,1.0
23190710,2016-04,Abril,2016,217.0,217.0,23190580,1.0
23190710,2016-05,Mayo,2016,339.0,339.0,,1.0
23190710,2016-06,Junio,2016,147.0,173.47231745086367,23190580,1.180083792182746
23190710,2016-07,Julio,2016,102.0,102.0,,1.0
23190710,2016-08,Agosto,2016,227.0,227.0,,1.0
23190710,2016-09,Septiembre,2016,268.0,268.0,23190580,1.0
23190710,2016-10,Octubre,2016,414.0,414.0,23190580,1.0
23190710,2016-11,Noviembre,2016,133.0,133.0,,1.0
23190710,2016-12,Diciembre,2016,19.0,19.0,23190580,1.0
23190710,2017-01,Enero,2017,6.0,1.8168358714455342,23190580,0.3028059785742557
23190710,2017-02,Febrero,2017,31.0,31.0,,1.0
23190710,2017-03,Marzo,2017,189.0,189.0,23190580,1.0
23190710,2017-04,Abril,2017,154.0,154.0,23190580,1.0
23190710,2017-05,Mayo,2017,170.0,170.0,,1.0
23190710,2017-06,Junio,2017,265.0,312.7222049284277,23190580,1.180083792182746
23190710,2017-07,Julio,2017,351.0,351.0,,1.0
23190710,2017-08,Agosto,2017,303.0,303.0,,1.0
23190710,2017-09,Septiembre,2017,255.0,255.0,23190580,1.0
23190710,2017-10,Octubre,2017,141.0,141.0,23190580,1.0
23190710,2017-11,Noviembre,2017,64.0,64.0,,1.0
23190710,2017-12,Diciembre,2017,50.0,50.0,23190580,1.0
23190710,2018-01,Enero,2018,59.0,17.865552735881085,23190580,0.3028059785742557
23190710,2018-02,Febrero,2018,0.0,0.0,,1.0
23190710,2018-03,Marzo,2018,0.0,0.0,23190580,1.0
23190710,2018-04,Abril,2018,208.0,208.0,23190580,1.0
23190710,2018-05,Mayo,2018,483.0,483.0,,1.0
23190710,2018-06,Junio,2018,136.0,160.49139573685346,23190580,1.180083792182746
23190710,2018-07,Julio,2018,205.0,205.0,,1.0
23190710,2018-08,Agosto,2018,125.0,125.0,,1.0
23190710,2018-09,Septiembre,2018,199.0,199.0,23190580,1.0
23190710,2018-10,Octubre,2018,206.0,206.0,23190580,1.0
23190710,2018-11,Noviembre,2018,84.0,84.0,,1.0
23190710,2018-12,Diciembre,2018,5.0,5.0,23190580,1.0
23190710,2019-01,Enero,2019,0.0,0.0,23190580,0.3028059785742557
23190710,2019-02,Febrero,2019,7.0,7.0,,1.0
23190710,2019-03,Marzo,2019,33.0,33.0,23190580,1.0
23190710,2019-04,Abril,2019,231.0,231.0,23190580,1.0
23190710,2019-05,Mayo,2019,319.0,319.0,,1.0
23190710,2019-06,Junio,2019,193.0,227.75617189127,23190580,1.180083792182746
23190710,2019-07,Julio,2019,116.0,116.0,,1.0
23190710,2019-08,Agosto,2019,128.0,128.0,,1.0
23190710,2019-09,Septiembre,2019,156.0,156.0,23190580,1.0
23190710,2019-10,Octubre,2019,267.0,267.0,23190580,1.0
23190710,2019-11,Noviembre,2019,145.0,145.0,,1.0
23190710,2019-12,Diciembre,2019,14.0,14.0,23190580,1.0
