Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23190280,2000-01,Enero,2000,107.0,107.0,,1.0
23190280,2000-02,Febrero,2000,138.0,138.0,,1.0
23190280,2000-03,Marzo,2000,80.0,80.0,23190590,1.0
23190280,2000-04,Abril,2000,80.0,80.0,,1.0
23190280,2000-05,Mayo,2000,182.0,182.0,23190590,1.0
23190280,2000-06,Junio,2000,36.0,36.0,23190590,1.0
23190280,2000-07,Julio,2000,41.0,inf,23190590,inf
23190280,2000-08,Agosto,2000,12.0,12.0,,1.0
23190280,2000-09,Septiembre,2000,88.0,88.0,23190590,1.0
23190280,2000-10,Octubre,2000,124.0,124.0,,1.0
23190280,2000-11,Noviembre,2000,171.0,171.0,,1.0
23190280,2000-12,Diciembre,2000,17.0,17.0,,1.0
23190280,2001-01,Enero,2001,60.0,60.0,,1.0
23190280,2001-02,Febrero,2001,68.0,68.0,,1.0
23190280,2001-03,Marzo,2001,26.0,26.0,23190590,1.0
23190280,2001-04,Abril,2001,84.0,84.0,,1.0
23190280,2001-05,Mayo,2001,80.0,80.0,23190590,1.0
23190280,2001-06,Junio,2001,64.0,64.0,23190590,1.0
23190280,2001-07,Julio,2001,189.0,189.0,23190590,1.0
23190280,2001-08,Agosto,2001,39.0,39.0,,1.0
23190280,2001-09,Septiembre,2001,91.0,91.0,23190590,1.0
23190280,2001-10,Octubre,2001,90.0,90.0,,1.0
23190280,2001-11,Noviembre,2001,87.0,87.0,,1.0
23190280,2001-12,Diciembre,2001,33.0,33.0,,1.0
23190280,2002-01,Enero,2002,10.0,10.0,,1.0
23190280,2002-02,Febrero,2002,102.0,102.0,,1.0
23190280,2002-03,Marzo,2002,208.0,208.0,23190590,1.0
23190280,2002-04,Abril,2002,78.0,78.0,,1.0
23190280,2002-05,Mayo,2002,144.0,144.0,23190590,1.0
23190280,2002-06,Junio,2002,43.0,43.0,23190590,1.0
23190280,2002-07,Julio,2002,28.0,28.0,23190590,1.0
23190280,2002-08,Agosto,2002,62.0,62.0,,1.0
23190280,2002-09,Septiembre,2002,49.0,49.0,23190590,1.0
23190280,2002-10,Octubre,2002,100.0,100.0,,1.0
23190280,2002-11,Noviembre,2002,28.0,28.0,,1.0
23190280,2002-12,Diciembre,2002,15.0,15.0,,1.0
23190280,2003-01,Enero,2003,18.0,18.0,,1.0
23190280,2003-02,Febrero,2003,90.0,90.0,,1.0
23190280,2003-03,Marzo,2003,182.0,182.0,23190590,1.0
23190280,2003-04,Abril,2003,223.0,223.0,,1.0
23190280,2003-05,Mayo,2003,63.0,63.0,23190590,1.0
23190280,2003-06,Junio,2003,75.0,75.0,23190590,1.0
23190280,2003-07,Julio,2003,105.0,105.0,23190590,1.0
23190280,2003-08,Agosto,2003,200.0,200.0,,1.0
23190280,2003-09,Septiembre,2003,142.0,142.0,23190590,1.0
23190280,2003-10,Octubre,2003,94.0,94.0,,1.0
23190280,2003-11,Noviembre,2003,81.0,81.0,,1.0
23190280,2003-12,Diciembre,2003,27.0,27.0,,1.0
23190280,2004-01,Enero,2004,30.0,30.0,,1.0
23190280,2004-02,Febrero,2004,80.0,80.0,,1.0
23190280,2004-03,Marzo,2004,98.0,98.0,23190590,1.0
23190280,2004-04,Abril,2004,69.0,69.0,,1.0
23190280,2004-05,Mayo,2004,81.0,81.0,23190590,1.0
23190280,2004-06,Junio,2004,53.0,53.0,23190590,1.0
23190280,2004-07,Julio,2004,49.0,49.0,23190590,1.0
23190280,2004-08,Agosto,2004,5.0,5.0,,1.0
23190280,2004-09,Septiembre,2004,51.0,51.0,23190590,1.0
23190280,2004-10,Octubre,2004,128.0,128.0,,1.0
23190280,2004-11,Noviembre,2004,68.0,68.0,,1.0
23190280,2004-12,Diciembre,2004,45.0,45.0,,1.0
23190280,2005-01,Enero,2005,126.0,126.0,,1.0
23190280,2005-02,Febrero,2005,450.0,450.0,,1.0
23190280,2005-03,Marzo,2005,10.0,10.0,23190590,1.0
23190280,2005-04,Abril,2005,68.0,68.0,,1.0
23190280,2005-05,Mayo,2005,121.0,121.0,23190590,1.0
23190280,2005-06,Junio,2005,131.0,131.0,23190590,1.0
23190280,2005-07,Julio,2005,10.0,10.0,23190590,1.0
23190280,2005-08,Agosto,2005,86.0,86.0,,1.0
23190280,2005-09,Septiembre,2005,64.0,64.0,23190590,1.0
23190280,2005-10,Octubre,2005,123.0,123.0,,1.0
23190280,2005-11,Noviembre,2005,114.0,114.0,,1.0
23190280,2005-12,Diciembre,2005,39.0,39.0,,1.0
23190280,2006-01,Enero,2006,112.0,112.0,,1.0
23190280,2006-02,Febrero,2006,76.0,76.0,,1.0
23190280,2006-03,Marzo,2006,51.0,51.0,23190590,1.0
23190280,2006-04,Abril,2006,72.0,72.0,,1.0
23190280,2006-05,Mayo,2006,184.0,184.0,23190590,1.0
23190280,2006-06,Junio,2006,137.0,137.0,23190590,1.0
23190280,2006-07,Julio,2006,65.0,65.0,23190590,1.0
23190280,2006-08,Agosto,2006,100.0,100.0,,1.0
23190280,2006-09,Septiembre,2006,21.0,21.0,23190590,1.0
23190280,2006-10,Octubre,2006,159.0,159.0,,1.0
23190280,2006-11,Noviembre,2006,89.0,89.0,,1.0
23190280,2006-12,Diciembre,2006,15.0,15.0,,1.0
23190280,2007-01,Enero,2007,117.0,117.0,,1.0
23190280,2007-02,Febrero,2007,105.0,105.0,,1.0
23190280,2007-03,Marzo,2007,133.0,133.0,23190590,1.0
23190280,2007-04,Abril,2007,98.0,98.0,,1.0
23190280,2007-05,Mayo,2007,107.0,107.0,23190590,1.0
23190280,2007-06,Junio,2007,83.0,83.0,23190590,1.0
23190280,2007-07,Julio,2007,43.0,43.0,23190590,1.0
23190280,2007-08,Agosto,2007,125.0,125.0,,1.0
23190280,2007-09,Septiembre,2007,65.0,65.0,23190590,1.0
23190280,2007-10,Octubre,2007,139.0,139.0,,1.0
23190280,2007-11,Noviembre,2007,40.0,40.0,,1.0
23190280,2007-12,Diciembre,2007,15.0,15.0,,1.0
23190280,2008-01,Enero,2008,40.0,40.0,,1.0
23190280,2008-02,Febrero,2008,189.0,189.0,,1.0
23190280,2008-03,Marzo,2008,182.0,182.0,23190590,1.0
23190280,2008-04,Abril,2008,40.0,40.0,,1.0
23190280,2008-05,Mayo,2008,97.0,97.0,23190590,1.0
23190280,2008-06,Junio,2008,55.0,55.0,23190590,1.0
23190280,2008-07,Julio,2008,130.0,130.0,23190590,1.0
23190280,2008-08,Agosto,2008,79.0,79.0,,1.0
23190280,2008-09,Septiembre,2008,102.0,102.0,23190590,1.0
23190280,2008-10,Octubre,2008,95.0,95.0,,1.0
23190280,2008-11,Noviembre,2008,200.0,200.0,,1.0
23190280,2008-12,Diciembre,2008,5.0,5.0,,1.0
23190280,2009-01,Enero,2009,42.0,42.0,,1.0
23190280,2009-02,Febrero,2009,71.0,71.0,,1.0
23190280,2009-03,Marzo,2009,104.0,104.0,23190590,1.0
23190280,2009-04,Abril,2009,163.0,163.0,,1.0
23190280,2009-05,Mayo,2009,65.0,65.0,23190590,1.0
23190280,2009-06,Junio,2009,57.0,57.0,23190590,1.0
23190280,2009-07,Julio,2009,49.0,49.0,23190590,1.0
23190280,2009-08,Agosto,2009,121.0,121.0,,1.0
23190280,2009-09,Septiembre,2009,6.0,6.0,23190590,1.0
23190280,2009-10,Octubre,2009,139.0,139.0,,1.0
23190280,2009-11,Noviembre,2009,52.0,52.0,,1.0
23190280,2009-12,Diciembre,2009,30.0,30.0,,1.0
23190280,2010-01,Enero,2010,0.0,0.0,,1.0
23190280,2010-02,Febrero,2010,30.0,30.0,,1.0
23190280,2010-03,Marzo,2010,28.0,28.0,23190590,1.0
23190280,2010-04,Abril,2010,53.0,53.0,,1.0
23190280,2010-05,Mayo,2010,250.0,250.0,23190590,1.0
23190280,2010-06,Junio,2010,113.0,113.0,23190590,1.0
23190280,2010-07,Julio,2010,135.0,135.0,23190590,1.0
23190280,2010-08,Agosto,2010,75.0,75.0,,1.0
23190280,2010-09,Septiembre,2010,194.0,194.0,23190590,1.0
23190280,2010-10,Octubre,2010,56.0,56.0,,1.0
23190280,2010-11,Noviembre,2010,247.0,247.0,,1.0
23190280,2010-12,Diciembre,2010,108.0,108.0,,1.0
23190280,2011-01,Enero,2011,7.0,7.0,,1.0
23190280,2011-02,Febrero,2011,39.0,39.0,,1.0
23190280,2011-03,Marzo,2011,108.0,108.0,23190590,1.0
23190280,2011-04,Abril,2011,161.0,161.0,,1.0
23190280,2011-05,Mayo,2011,136.0,136.0,23190590,1.0
23190280,2011-06,Junio,2011,122.0,122.0,23190590,1.0
23190280,2011-07,Julio,2011,59.0,59.0,23190590,1.0
23190280,2011-08,Agosto,2011,52.0,52.0,,1.0
23190280,2011-09,Septiembre,2011,58.0,58.0,23190590,1.0
23190280,2011-10,Octubre,2011,235.0,235.0,,1.0
23190280,2011-11,Noviembre,2011,80.0,80.0,,1.0
23190280,2011-12,Diciembre,2011,60.0,60.0,,1.0
23190280,2012-01,Enero,2012,71.0,71.0,,1.0
23190280,2012-02,Febrero,2012,40.0,40.0,,1.0
23190280,2012-03,Marzo,2012,116.0,116.0,23190590,1.0
23190280,2012-04,Abril,2012,127.0,127.0,,1.0
23190280,2012-05,Mayo,2012,104.0,104.0,23190590,1.0
23190280,2012-06,Junio,2012,56.0,56.0,23190590,1.0
23190280,2012-07,Julio,2012,60.0,60.0,23190590,1.0
23190280,2012-08,Agosto,2012,134.0,134.0,,1.0
23190280,2012-09,Septiembre,2012,63.0,63.0,23190590,1.0
23190280,2012-10,Octubre,2012,151.0,151.0,,1.0
23190280,2012-11,Noviembre,2012,45.0,45.0,,1.0
23190280,2012-12,Diciembre,2012,19.0,19.0,,1.0
23190280,2013-01,Enero,2013,11.0,11.0,,1.0
23190280,2013-02,Febrero,2013,84.0,84.0,,1.0
23190280,2013-03,Marzo,2013,15.0,15.0,23190590,1.0
23190280,2013-04,Abril,2013,14.0,14.0,,1.0
23190280,2013-05,Mayo,2013,74.0,74.0,23190590,1.0
23190280,2013-06,Junio,2013,44.0,44.0,23190590,1.0
23190280,2013-07,Julio,2013,58.0,58.0,23190590,1.0
23190280,2013-08,Agosto,2013,202.0,202.0,,1.0
23190280,2013-09,Septiembre,2013,43.0,43.0,23190590,1.0
23190280,2013-10,Octubre,2013,58.0,58.0,,1.0
23190280,2013-11,Noviembre,2013,44.0,44.0,,1.0
23190280,2013-12,Diciembre,2013,17.0,17.0,,1.0
23190280,2014-01,Enero,2014,57.89994260234658,57.89994260234658,,1.0
23190280,2014-02,Febrero,2014,111.73588276881776,111.73588276881776,,1.0
23190280,2014-03,Marzo,2014,28.0,17.758867358051813,23190590,0.6342452627875648
23190280,2014-04,Abril,2014,88.0,88.0,,1.0
23190280,2014-05,Mayo,2014,26.0,26.0,23190590,1.0
23190280,2014-06,Junio,2014,14.0,14.0,23190590,1.0
23190280,2014-07,Julio,2014,94.0,94.0,23190590,1.0
23190280,2014-08,Agosto,2014,138.0,138.0,,1.0
23190280,2014-09,Septiembre,2014,108.0,108.0,23190590,1.0
23190280,2014-10,Octubre,2014,191.0,191.0,,1.0
23190280,2014-11,Noviembre,2014,119.0,119.0,,1.0
23190280,2014-12,Diciembre,2014,7.0,7.0,,1.0
23190280,2015-01,Enero,2015,23.0,23.0,,1.0
23190280,2015-02,Febrero,2015,38.0,38.0,,1.0
23190280,2015-03,Marzo,2015,142.0,90.0628273158342,23190590,0.6342452627875648
23190280,2015-04,Abril,2015,38.0,38.0,,1.0
23190280,2015-05,Mayo,2015,174.0,174.0,23190590,1.0
23190280,2015-06,Junio,2015,5.0,5.0,23190590,1.0
23190280,2015-07,Julio,2015,42.0,42.0,23190590,1.0
23190280,2015-08,Agosto,2015,111.0,111.0,,1.0
23190280,2015-09,Septiembre,2015,52.0,52.0,23190590,1.0
23190280,2015-10,Octubre,2015,58.0,58.0,,1.0
23190280,2015-11,Noviembre,2015,96.0,96.0,,1.0
23190280,2015-12,Diciembre,2015,13.0,13.0,,1.0
23190280,2016-01,Enero,2016,77.0,77.0,,1.0
23190280,2016-02,Febrero,2016,72.0,72.0,,1.0
23190280,2016-03,Marzo,2016,195.0,123.67782624357513,23190590,0.6342452627875648
23190280,2016-04,Abril,2016,83.0,83.0,,1.0
23190280,2016-05,Mayo,2016,59.0,59.0,23190590,1.0
