Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23085110,2007-03,Marzo,2007,424.0,424.0,,1.0
23085110,2007-04,Abril,2007,366.0,366.0,23085160,1.0
23085110,2007-05,Mayo,2007,437.0,437.0,23085160,1.0
23085110,2007-06,Junio,2007,66.0,66.0,,1.0
23085110,2007-07,Julio,2007,320.0,320.0,23085160,1.0
23085110,2007-08,Agosto,2007,603.0,603.0,23085160,1.0
23085110,2007-09,Septiembre,2007,475.0,475.0,,1.0
23085110,2007-10,Octubre,2007,250.92266870042897,250.92266870042897,,1.0
23085110,2007-11,Noviembre,2007,149.4,149.4,,1.0
23085110,2007-12,Diciembre,2007,216.1,216.1,23085160,1.0
23085110,2008-01,Enero,2008,281.6,281.6,,1.0
23085110,2008-02,Febrero,2008,142.4,142.4,,1.0
23085110,2008-03,Marzo,2008,242.0,242.0,,1.0
23085110,2008-04,Abril,2008,315.3,315.3,23085160,1.0
23085110,2008-05,Mayo,2008,318.5,318.5,23085160,1.0
23085110,2008-06,Junio,2008,236.2,236.2,,1.0
23085110,2008-07,Julio,2008,432.9,432.9,23085160,1.0
23085110,2008-08,Agosto,2008,338.8,338.8,23085160,1.0
23085110,2008-09,Septiembre,2008,227.8,227.8,,1.0
23085110,2008-10,Octubre,2008,323.1,323.1,,1.0
23085110,2008-11,Noviembre,2008,353.6,353.6,,1.0
23085110,2008-12,Diciembre,2008,63.9,63.9,23085160,1.0
23085110,2009-01,Enero,2009,315.1,315.1,,1.0
23085110,2009-02,Febrero,2009,118.9,118.9,,1.0
23085110,2009-03,Marzo,2009,197.2,197.2,,1.0
23085110,2009-04,Abril,2009,228.3,228.3,23085160,1.0
23085110,2009-05,Mayo,2009,158.1,158.1,23085160,1.0
23085110,2009-06,Junio,2009,210.2,210.2,,1.0
23085110,2009-07,Julio,2009,118.9,118.9,23085160,1.0
23085110,2009-08,Agosto,2009,211.1,211.1,23085160,1.0
23085110,2009-09,Septiembre,2009,81.6,81.6,,1.0
23085110,2009-10,Octubre,2009,258.6,258.6,,1.0
23085110,2009-11,Noviembre,2009,191.3,191.3,,1.0
23085110,2009-12,Diciembre,2009,107.8,107.8,23085160,1.0
23085110,2010-01,Enero,2010,18.6,18.6,,1.0
23085110,2010-02,Febrero,2010,62.5,62.5,,1.0
23085110,2010-03,Marzo,2010,167.2,167.2,,1.0
23085110,2010-04,Abril,2010,264.6,264.6,23085160,1.0
23085110,2010-05,Mayo,2010,338.8,338.8,23085160,1.0
23085110,2010-06,Junio,2010,221.7,221.7,,1.0
23085110,2010-07,Julio,2010,332.1,332.1,23085160,1.0
23085110,2010-08,Agosto,2010,245.5,245.5,23085160,1.0
23085110,2010-09,Septiembre,2010,422.9,422.9,,1.0
23085110,2010-10,Octubre,2010,288.2,288.2,,1.0
23085110,2010-11,Noviembre,2010,419.6,419.6,,1.0
23085110,2010-12,Diciembre,2010,202.8,202.8,23085160,1.0
23085110,2011-01,Enero,2011,119.3,119.3,,1.0
23085110,2011-02,Febrero,2011,132.7,132.7,,1.0
23085110,2011-03,Marzo,2011,374.0,374.0,,1.0
23085110,2011-04,Abril,2011,796.9,796.9,23085160,1.0
23085110,2011-05,Mayo,2011,251.2,251.2,23085160,1.0
23085110,2011-06,Junio,2011,208.8,208.8,,1.0
23085110,2011-07,Julio,2011,267.7,394.6451576459615,23085160,1.4742067898616418
23085110,2011-08,Agosto,2011,209.6,209.6,23085160,1.0
23085110,2011-09,Septiembre,2011,205.8,205.8,,1.0
23085110,2011-10,Octubre,2011,350.8,350.8,,1.0
23085110,2011-11,Noviembre,2011,355.2,355.2,,1.0
23085110,2011-12,Diciembre,2011,244.8,244.8,23085160,1.0
23085110,2012-01,Enero,2012,232.3,232.3,,1.0
23085110,2012-02,Febrero,2012,74.9,74.9,,1.0
23085110,2012-03,Marzo,2012,158.5,158.5,,1.0
23085110,2012-04,Abril,2012,456.3,478.4779906998855,23085160,1.0486039682224095
23085110,2012-05,Mayo,2012,273.2,273.2,23085160,1.0
23085110,2012-06,Junio,2012,117.0,117.0,,1.0
23085110,2012-07,Julio,2012,102.5,151.10619596081827,23085160,1.4742067898616418
23085110,2012-08,Agosto,2012,213.8,213.8,23085160,1.0
