Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23190520,2000-01,Enero,2000,11.0,11.0,23190500,1.0
23190520,2000-02,Febrero,2000,50.0,50.0,,1.0
23190520,2000-03,Marzo,2000,60.0,37.84624483453669,23190500,0.6307707472422782
23190520,2000-04,Abril,2000,166.0,235.12088700855574,23190500,1.4163908855937093
23190520,2000-05,Mayo,2000,249.0,305.61533748537875,23190500,1.2273708332746134
23190520,2000-06,Junio,2000,195.0,195.0,23190500,1.0
23190520,2000-07,Julio,2000,131.0,131.0,23190500,1.0
23190520,2000-08,Agosto,2000,128.0,211.7508327268192,23190500,1.654303380678275
23190520,2000-09,Septiembre,2000,348.0,348.0,,1.0
23190520,2000-10,Octubre,2000,73.0,73.0,,1.0
23190520,2000-11,Noviembre,2000,124.0,124.0,,1.0
23190520,2000-12,Diciembre,2000,98.0,inf,23190500,inf
23190520,2001-01,Enero,2001,80.0,80.0,23190500,1.0
23190520,2001-02,Febrero,2001,0.0,0.0,,1.0
23190520,2001-03,Marzo,2001,232.0,146.33881336020855,23190500,0.6307707472422782
23190520,2001-04,Abril,2001,193.0,273.3634409195859,23190500,1.4163908855937093
23190520,2001-05,Mayo,2001,229.8,282.0498174865062,23190500,1.2273708332746134
23190520,2001-06,Junio,2001,132.0,132.0,23190500,1.0
23190520,2001-07,Julio,2001,139.0,139.0,23190500,1.0
23190520,2001-08,Agosto,2001,49.0,81.06086565323547,23190500,1.654303380678275
23190520,2001-09,Septiembre,2001,154.0,154.0,,1.0
23190520,2001-10,Octubre,2001,239.0,239.0,,1.0
23190520,2001-11,Noviembre,2001,362.0,362.0,,1.0
23190520,2001-12,Diciembre,2001,394.0,394.0,23190500,1.0
23190520,2002-01,Enero,2002,21.0,21.0,23190500,1.0
23190520,2002-02,Febrero,2002,30.0,30.0,,1.0
23190520,2002-03,Marzo,2002,112.0,70.64632369113517,23190500,0.6307707472422782
23190520,2002-04,Abril,2002,202.0,286.1109588899293,23190500,1.4163908855937093
23190520,2002-05,Mayo,2002,94.0,115.37285832781366,23190500,1.2273708332746134
23190520,2002-06,Junio,2002,179.0,179.0,23190500,1.0
23190520,2002-07,Julio,2002,98.0,98.0,23190500,1.0
23190520,2002-08,Agosto,2002,111.0,183.62767525528852,23190500,1.654303380678275
23190520,2002-09,Septiembre,2002,151.0,151.0,,1.0
23190520,2002-10,Octubre,2002,310.0,310.0,,1.0
23190520,2002-11,Noviembre,2002,138.0,138.0,,1.0
23190520,2002-12,Diciembre,2002,103.0,103.0,23190500,1.0
23190520,2003-01,Enero,2003,0.0,0.0,23190500,1.0
23190520,2003-02,Febrero,2003,48.0,48.0,,1.0
23190520,2003-03,Marzo,2003,51.0,32.16930810935619,23190500,0.6307707472422782
23190520,2003-04,Abril,2003,209.0,296.0256950890852,23190500,1.4163908855937093
23190520,2003-05,Mayo,2003,337.0,413.6239708135447,23190500,1.2273708332746134
23190520,2003-06,Junio,2003,226.0,226.0,23190500,1.0
23190520,2003-07,Julio,2003,187.0,187.0,23190500,1.0
23190520,2003-08,Agosto,2003,127.0,127.0,23190500,1.0
23190520,2003-09,Septiembre,2003,306.0,306.0,,1.0
23190520,2003-10,Octubre,2003,420.0,420.0,,1.0
23190520,2003-11,Noviembre,2003,327.0,327.0,,1.0
23190520,2003-12,Diciembre,2003,136.0,136.0,23190500,1.0
23190520,2004-01,Enero,2004,50.0,50.0,23190500,1.0
23190520,2004-02,Febrero,2004,37.0,37.0,,1.0
23190520,2004-03,Marzo,2004,23.0,14.5077271865724,23190500,0.6307707472422782
23190520,2004-04,Abril,2004,183.0,183.0,23190500,1.0
23190520,2004-05,Mayo,2004,188.0,230.74571665562732,23190500,1.2273708332746134
23190520,2004-06,Junio,2004,120.0,120.0,23190500,1.0
23190520,2004-07,Julio,2004,205.0,205.0,23190500,1.0
23190520,2004-08,Agosto,2004,158.0,158.0,23190500,1.0
23190520,2004-09,Septiembre,2004,293.0,293.0,,1.0
23190520,2004-10,Octubre,2004,397.0,397.0,,1.0
23190520,2004-11,Noviembre,2004,239.0,239.0,,1.0
23190520,2004-12,Diciembre,2004,59.0,59.0,23190500,1.0
23190520,2005-01,Enero,2005,92.0,92.0,23190500,1.0
23190520,2005-02,Febrero,2005,0.0,0.0,,1.0
23190520,2005-03,Marzo,2005,52.0,52.0,23190500,1.0
23190520,2005-04,Abril,2005,439.0,439.0,23190500,1.0
23190520,2005-05,Mayo,2005,132.0,132.0,23190500,1.0
23190520,2005-06,Junio,2005,128.0,128.0,23190500,1.0
23190520,2005-07,Julio,2005,191.0,191.0,23190500,1.0
23190520,2005-08,Agosto,2005,182.0,182.0,23190500,1.0
23190520,2005-09,Septiembre,2005,254.0,254.0,,1.0
23190520,2005-10,Octubre,2005,276.0,276.0,,1.0
23190520,2005-11,Noviembre,2005,156.0,156.0,,1.0
23190520,2005-12,Diciembre,2005,64.0,64.0,23190500,1.0
23190520,2006-01,Enero,2006,12.0,12.0,23190500,1.0
23190520,2006-02,Febrero,2006,50.0,50.0,,1.0
23190520,2006-03,Marzo,2006,335.0,335.0,23190500,1.0
23190520,2006-04,Abril,2006,494.0,494.0,23190500,1.0
23190520,2006-05,Mayo,2006,290.0,290.0,23190500,1.0
23190520,2006-06,Junio,2006,219.0,219.0,23190500,1.0
23190520,2006-07,Julio,2006,290.0,290.0,23190500,1.0
23190520,2006-08,Agosto,2006,160.0,160.0,23190500,1.0
23190520,2006-09,Septiembre,2006,253.0,253.0,,1.0
23190520,2006-10,Octubre,2006,327.0,327.0,,1.0
23190520,2006-11,Noviembre,2006,281.1982371639786,281.1982371639786,,1.0
23190520,2006-12,Diciembre,2006,239.0,239.0,23190500,1.0
23190520,2007-01,Enero,2007,0.0,0.0,23190500,1.0
23190520,2007-02,Febrero,2007,25.0,25.0,,1.0
23190520,2007-03,Marzo,2007,278.0,278.0,23190500,1.0
23190520,2007-04,Abril,2007,447.0,447.0,23190500,1.0
