Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23180100,2000-01,Enero,2000,0.0,0.0,,1.0
23180100,2000-02,Febrero,2000,73.0,73.0,,1.0
23180100,2000-03,Marzo,2000,26.0,32.684994687999755,23190210,1.2571151803076828
23180100,2000-04,Abril,2000,184.0,184.0,23190210,1.0
23180100,2000-05,Mayo,2000,512.0,512.0,,1.0
23180100,2000-06,Junio,2000,206.0,309.467430717326,23190210,1.502269081152068
23180100,2000-07,Julio,2000,252.0,252.0,23190210,1.0
23180100,2000-08,Agosto,2000,129.0,106.27479590631062,23190210,0.8238356271807025
23180100,2000-09,Septiembre,2000,472.0,472.0,,1.0
23180100,2000-10,Octubre,2000,299.0,299.0,23190210,1.0
23180100,2000-11,Noviembre,2000,92.0,92.0,23190210,1.0
23180100,2000-12,Diciembre,2000,75.0,75.0,23190210,1.0
23180100,2001-01,Enero,2001,0.0,0.0,,1.0
23180100,2001-02,Febrero,2001,0.0,0.0,,1.0
23180100,2001-03,Marzo,2001,98.0,123.19728767015292,23190210,1.2571151803076828
23180100,2001-04,Abril,2001,205.0,205.0,23190210,1.0
23180100,2001-05,Mayo,2001,269.0,269.0,,1.0
23180100,2001-06,Junio,2001,152.0,228.34490033511435,23190210,1.502269081152068
23180100,2001-07,Julio,2001,373.0,373.0,23190210,1.0
23180100,2001-08,Agosto,2001,198.0,163.11945418177908,23190210,0.8238356271807025
23180100,2001-09,Septiembre,2001,225.0,225.0,,1.0
23180100,2001-10,Octubre,2001,249.0,249.0,23190210,1.0
23180100,2001-11,Noviembre,2001,167.0,167.0,23190210,1.0
23180100,2001-12,Diciembre,2001,140.0,140.0,23190210,1.0
23180100,2002-01,Enero,2002,0.0,0.0,,1.0
23180100,2002-02,Febrero,2002,10.0,10.0,,1.0
23180100,2002-03,Marzo,2002,44.0,55.31306793353804,23190210,1.2571151803076828
23180100,2002-04,Abril,2002,147.0,147.0,23190210,1.0
23180100,2002-05,Mayo,2002,223.0,223.0,,1.0
23180100,2002-06,Junio,2002,232.0,348.5264268272798,23190210,1.502269081152068
23180100,2002-07,Julio,2002,130.0,130.0,23190210,1.0
23180100,2002-08,Agosto,2002,105.0,86.50274085397376,23190210,0.8238356271807025
23180100,2002-09,Septiembre,2002,299.0,299.0,,1.0
