Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2016,156.3682054839618
Febrero,2000,150.42822150951653
Marzo,2013,162.18242106035112
Abril,2005,151.84518431975903
Mayo,2016,340.5367847401629
Junio,2014,251.71491493650416
Julio,2010,248.411266221881
Agosto,2004,260.5514337634339
Septiembre,2002,190.00798840538152
Octubre,2004,129.06071504011857
Noviembre,2004,262.9368393740217
Diciembre,2015,64.05216721548153
