Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2017,104.15495392333123
Febrero,2005,98.67813587619092
Marzo,2012,120.3686005796134
Abril,2016,77.31991322028334
Mayo,2000,110.48760873605029
Junio,2011,138.06217346620028
Julio,2015,124.41482226808822
Agosto,2003,74.31571923220554
Septiembre,2017,97.25404990139084
Octubre,2002,100.56535890536423
Noviembre,2017,116.051928032239
Diciembre,2011,160.66023320996837
