Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2000,180.06304550414964
Febrero,2016,143.38799501293153
Marzo,2000,159.14263090034797
Abril,2010,302.7954136168907
Mayo,2009,245.2953417611608
Junio,2000,283.16177996512835
Julio,2000,196.78889971682923
Agosto,2017,359.66600164880543
Septiembre,2000,292.71667175904486
Octubre,2016,264.8313230796886
Noviembre,2001,165.3618185319272
Diciembre,2011,138.25215956633426
