Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2016,89.80056334161043
Febrero,2018,74.3321316085694
Marzo,2004,94.73403401099111
Abril,2012,82.29979727385475
Mayo,2016,165.44845770469652
Junio,2012,105.41130587652071
Julio,2011,91.10451873169265
Agosto,2018,97.16014994246409
Septiembre,2000,205.70865959307338
Octubre,2001,118.21346041048889
Noviembre,2013,74.36358555867822
Diciembre,2013,79.82862596719005
