Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2004,114.81387336070478
Febrero,2000,93.12809267347996
Marzo,2006,133.97202628714302
Abril,2002,152.49269546042748
Mayo,2018,110.21802458304948
Junio,2018,148.56732870018553
Julio,2012,162.67348063017906
Agosto,2001,108.06574469915603
Septiembre,2000,269.69302405723374
Octubre,2010,150.43685780751557
Noviembre,2007,125.10076836884782
Diciembre,2013,169.08864067186352
