Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2004,188.48518951542766
Febrero,2015,123.79990357427587
Marzo,2016,156.34628763377378
Abril,2012,159.55150894145265
Mayo,2016,574.253937167993
Junio,2014,349.5238370507319
Julio,2010,252.9845090578321
Agosto,2018,395.5249145123477
Septiembre,2004,176.45312125320993
Octubre,2018,215.34772621091335
Noviembre,2018,179.9514730639756
Diciembre,2009,75.40021220129297
