Mes,Punto de Cambio,Estadística de Worsley
January,2011,172.96426806371258
February,2000,79.50092473454566
March,2018,107.16863747964761
April,2001,226.14671674519573
May,2000,164.42186547334194
June,2006,116.60760377785996
July,2010,95.25496022050913
August,2006,195.73895827338495
September,2005,209.01420289907247
October,2008,195.34277672850044
November,2000,142.27672030182305
December,2008,105.408741320606
