Fecha,Mes,Año,Precipitación_imputada,Precipitación_original,xlin,xint,RESIDUALS
2000-01,January,2000,255.4,255.4,276.44132781550104,275.3654010071233,-19.96540100712329
2000-02,February,2000,441.7,441.7,276.4226372941595,275.36540100712335,166.33459899287664
2000-03,March,2000,334.3,334.3,276.4039467728179,275.36540100712347,58.934598992876545
2000-04,April,2000,300.9,300.9,276.38525625147633,275.3654010071236,25.534598992876397
2000-05,May,2000,301.4,301.4,276.36656573013477,275.3654010071232,26.034598992876795
2000-06,June,2000,281.1,281.1,276.3478752087932,275.36540100712324,5.7345989928767835
2000-07,July,2000,172.7,172.7,276.3291846874517,275.36540100712324,-102.66540100712325
2000-08,August,2000,97.5,97.5,276.3104941661101,275.36540100712307,-177.86540100712307
2000-09,September,2000,461.6,461.6,276.29180364476855,275.3654010071233,186.23459899287673
2000-10,October,2000,277.9,277.9,276.273113123427,275.3654010071235,2.534598992876454
2000-11,November,2000,353.1,353.1,276.2544226020854,275.3654010071237,77.73459899287633
2000-12,December,2000,159.6,159.6,276.23573208074384,275.36540100712324,-115.76540100712324
2001-01,January,2001,204.2,204.2,276.2170415594023,261.16186718198014,-56.96186718198015
2001-02,February,2001,158.3,158.3,276.1983510380607,188.02155801181115,-29.72155801181114
2001-03,March,2001,250.3,250.3,276.17966051671914,328.10473770338615,-77.80473770338614
2001-04,April,2001,184.1,184.1,276.16096999537757,258.7868663411368,-74.68686634113678
2001-05,May,2001,335.5,335.5,276.14227947403606,272.07495106065466,63.425048939345345
2001-06,June,2001,76.7,76.7,276.1235889526945,239.40338653181666,-162.70338653181665
2001-07,July,2001,182.0,182.0,276.1048984313529,228.58470367443311,-46.584703674433115
2001-08,August,2001,84.2,84.2,276.08620791001135,169.91466817818815,-85.71466817818815
2001-09,September,2001,270.2,270.2,276.0675173886698,231.84488255712057,38.35511744287942
2001-10,October,2001,306.3,306.3,276.0488268673282,367.0018001120908,-60.70180011209078
2001-11,November,2001,490.7,490.7,276.03013634598665,190.66382512626214,300.0361748737379
2001-12,December,2001,349.4,349.4,276.0114458246451,349.53912203760643,-0.13912203760645525
2002-01,January,2002,96.2,96.2,275.9927553033035,306.5848644487905,-210.3848644487905
2002-02,February,2002,214.5,214.5,275.97406478196194,228.4193403507108,-13.919340350710797
2002-03,March,2002,236.0,236.0,275.95537426062043,420.3209818073233,-184.32098180732328
2002-04,April,2002,329.5,329.5,275.93668373927886,324.3890195441609,5.110980455839126
2002-05,May,2002,371.6,371.6,275.9179932179373,319.439347060057,52.16065293994302
2002-06,June,2002,144.6,144.6,275.8993026965957,245.33539771963584,-100.73539771963584
2002-07,July,2002,132.0,132.0,275.88061217525416,241.5870436823942,-109.58704368239421
2002-08,August,2002,70.3,70.3,275.8619216539126,141.67654700402647,-71.37654700402648
2002-09,September,2002,281.9,281.9,275.843231132571,280.79851722263396,1.1014827773660159
2002-10,October,2002,427.6,427.6,275.82454061122945,367.86503356063145,59.73496643936858
2002-11,November,2002,148.7,148.7,275.8058500898879,299.1705051905683,-150.4705051905683
2002-12,December,2002,223.3,223.3,275.7871595685463,361.4525746945819,-138.15257469458192
2003-01,January,2003,153.0,153.0,275.7684690472048,294.53874780356585,-141.53874780356585
2003-02,February,2003,98.1,98.1,275.74977852586323,280.851275841815,-182.751275841815
2003-03,March,2003,386.9,386.9,275.73108800452167,428.9594338214843,-42.05943382148433
2003-04,April,2003,342.4,342.4,275.7123974831801,312.85888669813585,29.54111330186413
2003-05,May,2003,149.0,149.0,275.69370696183853,349.23025466636716,-200.23025466636716
2003-06,June,2003,241.5,241.5,275.67501644049696,228.27670973582815,13.223290264171851
2003-07,July,2003,40.8,40.8,275.6563259191554,217.0864802845239,-176.28648028452392
2003-08,August,2003,185.6,185.6,275.6376353978138,225.0868058901074,-39.486805890107405
2003-09,September,2003,318.7,318.7,275.61894487647226,239.9789925247178,78.72100747528219
2003-10,October,2003,552.4,552.4,275.6002543551307,434.0755450670209,118.32445493297905
2003-11,November,2003,322.8,322.8,275.5815638337892,388.5091276552613,-65.70912765526128
2003-12,December,2003,121.2,121.2,275.5628733124476,306.8885474487594,-185.68854744875944
