Fecha,Mes,Año,Precipitación_imputada,Precipitación_original,xlin,xint,RESIDUALS
2000-01,January,2000,107.0,107.0,86.79513837003998,86.47983776105997,20.52016223894003
2000-02,February,2000,138.0,138.0,86.79683152918678,86.83712738345191,51.162872616548086
2000-03,March,2000,80.0,80.0,86.79852468833357,92.24304104587924,-12.243041045879238
2000-04,April,2000,80.0,80.0,86.80021784748037,90.72248227365755,-10.722482273657548
2000-05,May,2000,182.0,182.0,86.80191100662717,90.38086060473957,91.61913939526043
2000-06,June,2000,36.0,36.0,86.80360416577396,86.10086897344247,-50.10086897344247
2000-07,July,2000,41.0,41.0,86.80529732492076,85.97231060639879,-44.97231060639879
2000-08,August,2000,12.0,12.0,86.80699048406755,78.61091519653641,-66.61091519653641
2000-09,September,2000,88.0,88.0,86.80868364321435,84.35965038266453,3.640349617335474
2000-10,October,2000,124.0,124.0,86.81037680236115,83.33770659988187,40.66229340011813
2000-11,November,2000,171.0,171.0,86.81206996150794,86.68691900365744,84.31308099634256
2000-12,December,2000,17.0,17.0,86.81376312065474,86.5620351986885,-69.5620351986885
2001-01,January,2001,60.0,60.0,86.81545627980154,82.00174052928394,-22.001740529283936
2001-02,February,2001,68.0,68.0,86.81714943894832,97.22357197574918,-29.22357197574918
2001-03,March,2001,26.0,26.0,86.81884259809512,107.42333626729902,-81.42333626729902
2001-04,April,2001,84.0,84.0,86.82053575724191,94.73152471766804,-10.731524717668037
2001-05,May,2001,80.0,80.0,86.82222891638871,79.69360861569888,0.3063913843011221
2001-06,June,2001,64.0,64.0,86.8239220755355,84.52304572446675,-20.523045724466755
2001-07,July,2001,189.0,189.0,86.8256152346823,64.13543236945512,124.86456763054488
2001-08,August,2001,39.0,39.0,86.8273083938291,79.05592090847097,-40.055920908470966
2001-09,September,2001,91.0,91.0,86.8290015529759,82.14966176582361,8.850338234176391
2001-10,October,2001,90.0,90.0,86.83069471212269,80.2966392184348,9.703360781565195
2001-11,November,2001,87.0,87.0,86.83238787126949,83.04593927354183,3.9540607264581666
2001-12,December,2001,33.0,33.0,86.83408103041629,71.0864827778953,-38.0864827778953
2002-01,January,2002,10.0,10.0,86.83577418956308,80.00273096117127,-70.00273096117127
2002-02,February,2002,102.0,102.0,86.83746734870988,121.738367568354,-19.738367568353993
2002-03,March,2002,208.0,208.0,86.83916050785668,92.56846380484919,115.43153619515081
2002-04,April,2002,78.0,78.0,86.84085366700347,93.80613022904586,-15.806130229045863
2002-05,May,2002,144.0,144.0,86.84254682615027,81.28877192404728,62.71122807595272
2002-06,June,2002,43.0,43.0,86.84423998529707,79.8171676311091,-36.8171676311091
2002-07,July,2002,28.0,28.0,86.84593314444386,52.966496746099246,-24.966496746099246
2002-08,August,2002,62.0,62.0,86.84762630359066,91.975515893515,-29.975515893514995
2002-09,September,2002,49.0,49.0,86.84931946273745,61.08399113974548,-12.083991139745478
2002-10,October,2002,100.0,100.0,86.85101262188425,79.1689564984259,20.8310435015741
2002-11,November,2002,28.0,28.0,86.85270578103105,87.62913985232976,-59.62913985232976
2002-12,December,2002,15.0,15.0,86.85439894017784,67.9797304385508,-52.9797304385508
2003-01,January,2003,18.0,18.0,86.85609209932464,70.27044793359187,-52.27044793359187
2003-02,February,2003,90.0,90.0,86.85778525847144,122.35493983029144,-32.35493983029144
2003-03,March,2003,182.0,182.0,86.85947841761823,115.24281002309061,66.75718997690939
2003-04,April,2003,223.0,223.0,86.86117157676502,84.97713488630669,138.0228651136933
2003-05,May,2003,63.0,63.0,86.86286473591181,82.64183892976465,-19.641838929764646
2003-06,June,2003,75.0,75.0,86.86455789505861,74.47728110612786,0.5227188938721383
2003-07,July,2003,105.0,105.0,86.8662510542054,69.99240662964785,35.007593370352154
2003-08,August,2003,200.0,200.0,86.8679442133522,89.9618699252916,110.0381300747084
2003-09,September,2003,142.0,142.0,86.869637372499,62.78797554961923,79.21202445038077
2003-10,October,2003,94.0,94.0,86.8713305316458,86.66571853795581,7.3342814620441885
2003-11,November,2003,81.0,81.0,86.87302369079259,92.93029258184562,-11.93029258184562
2003-12,December,2003,27.0,27.0,86.87471684993939,50.79405300422951,-23.79405300422951
2004-01,January,2004,30.0,30.0,86.87641000908619,65.88488143835251,-35.88488143835251
2004-02,February,2004,80.0,80.0,86.87810316823298,123.85526878903258,-43.85526878903258
2004-03,March,2004,98.0,98.0,86.87979632737978,117.0769183219046,-19.0769183219046
2004-04,April,2004,69.0,69.0,86.88148948652658,63.18810499829229,5.811895001707711
2004-05,May,2004,81.0,81.0,86.88318264567337,97.8874772015288,-16.887477201528796
2004-06,June,2004,53.0,53.0,86.88487580482017,75.52675082127318,-22.526750821273183
2004-07,July,2004,49.0,49.0,86.88656896396697,81.80734142711606,-32.80734142711606
2004-08,August,2004,5.0,5.0,86.88826212311376,81.27581782653225,-76.27581782653225
2004-09,September,2004,51.0,51.0,86.88995528226056,65.77206690412852,-14.772066904128522
2004-10,October,2004,128.0,128.0,86.89164844140736,89.39653671403087,38.60346328596913
2004-11,November,2004,68.0,68.0,86.89334160055415,93.41730011525647,-25.417300115256467
2004-12,December,2004,45.0,45.0,86.89503475970095,39.62205704419078,5.3779429558092176
2005-01,January,2005,126.0,126.0,86.89672791884774,61.058277352336574,64.94172264766343
2005-02,February,2005,450.0,450.0,86.89842107799454,134.51054579655374,315.48945420344626
2005-03,March,2005,10.0,10.0,86.90011423714134,123.83456735820224,-113.83456735820224
2005-04,April,2005,68.0,68.0,86.90180739628813,75.84362341839005,-7.843623418390052
2005-05,May,2005,121.0,121.0,86.90350055543493,97.49369680295561,23.50630319704439
2005-06,June,2005,131.0,131.0,86.90519371458171,79.6438151864603,51.3561848135397
2005-07,July,2005,10.0,10.0,86.90688687372851,86.27496816230419,-76.27496816230419
2005-08,August,2005,86.0,86.0,86.9085800328753,93.22574539205745,-7.225745392057448
2005-09,September,2005,64.0,64.0,86.9102731920221,63.002288055931686,0.997711944068314
