Fecha,Mes,Año,Precipitación_imputada,Precipitación_original,xlin,xint,RESIDUALS
2000-01,January,2000,0.0,0.0,116.34236821868808,171.71953779580403,-171.71953779580403
2000-02,February,2000,23.0,23.0,116.77132535427023,168.96248775500447,-145.96248775500447
2000-03,March,2000,0.0,0.0,117.2002824898524,169.10544557044886,-169.10544557044886
2000-04,April,2000,20.0,20.0,117.62923962543455,173.97126164833526,-153.97126164833526
2000-05,May,2000,104.0,104.0,118.05819676101672,170.30249467276988,-66.30249467276988
2000-06,June,2000,77.0,77.0,118.48715389659887,174.13734649238987,-97.13734649238987
2000-07,July,2000,138.0,138.0,118.91611103218102,174.6539856554802,-36.6539856554802
2000-08,August,2000,128.0,128.0,119.34506816776319,175.88338750105657,-47.883387501056575
2000-09,September,2000,172.0,172.0,119.77402530334534,175.86893107392748,-3.8689310739274845
2000-10,October,2000,121.0,121.0,120.2029824389275,171.900022602136,-50.900022602136005
2000-11,November,2000,117.0,117.0,120.63193957450966,176.2166298008478,-59.21662980084781
2000-12,December,2000,50.0,50.0,121.06089671009181,173.8034616048922,-123.80346160489219
2001-01,January,2001,17.0,17.0,121.48985384567398,117.16710971927007,-100.16710971927007
2001-02,February,2001,8.0,8.0,121.91881098125613,117.5791647661733,-109.5791647661733
2001-03,March,2001,31.0,31.0,122.3477681168383,214.3625037927386,-183.3625037927386
2001-04,April,2001,12.0,12.0,122.77672525242045,142.5741725441781,-130.5741725441781
2001-05,May,2001,147.0,147.0,123.20568238800261,215.4745935051606,-68.47459350516061
2001-06,June,2001,83.0,83.0,123.63463952358477,230.51432094050253,-147.51432094050253
2001-07,July,2001,68.0,68.0,124.06359665916692,251.40092460395192,-183.40092460395192
2001-08,August,2001,79.0,79.0,124.49255379474909,252.59149669918415,-173.59149669918415
2001-09,September,2001,179.0,179.0,124.92151093033124,168.50265468359348,10.497345316406523
2001-10,October,2001,93.0,93.0,125.3504680659134,261.6112075713462,-168.6112075713462
2001-11,November,2001,80.0,80.0,125.77942520149556,232.25850635047112,-152.25850635047112
2001-12,December,2001,144.0,144.0,126.20838233707771,152.9088123163179,-8.908812316317892
2002-01,January,2002,6.0,6.0,126.63733947265987,69.43196238968756,-63.431962389687556
2002-02,February,2002,10.0,10.0,127.06629660824203,98.91831919987912,-88.91831919987912
2002-03,March,2002,120.0,120.0,127.4952537438242,197.31748344235615,-77.31748344235615
2002-04,April,2002,37.0,37.0,127.92421087940635,94.85094276736783,-57.850942767367826
2002-05,May,2002,40.0,40.0,128.3531680149885,248.15395705391535,-208.15395705391535
2002-06,June,2002,45.0,45.0,128.78212515057066,209.13711314377372,-164.13711314377372
2002-07,July,2002,44.0,44.0,129.21108228615282,255.14342696255963,-211.14342696255963
2002-08,August,2002,41.0,41.0,129.64003942173497,167.15221886654956,-126.15221886654956
2002-09,September,2002,145.0,145.0,130.06899655731715,197.95412824639027,-52.95412824639027
2002-10,October,2002,188.0,188.0,130.4979536928993,243.06951275545438,-55.06951275545438
2002-11,November,2002,51.0,51.0,130.92691082848145,219.81658387215717,-168.81658387215717
2002-12,December,2002,9.0,9.0,131.3558679640636,95.6025895786361,-86.6025895786361
2003-01,January,2003,7.0,7.0,131.78482509964576,61.91513929267255,-54.91513929267255
2003-02,February,2003,38.0,38.0,132.21378223522794,81.20188723737871,-43.20188723737871
2003-03,March,2003,49.0,49.0,132.6427393708101,183.9779346364002,-134.9779346364002
2003-04,April,2003,168.0,168.0,133.07169650639224,151.86187322263822,16.138126777361776
2003-05,May,2003,251.0,251.0,133.5006536419744,234.1988277417521,16.801172258247902
2003-06,June,2003,134.0,134.0,133.92961077755655,201.69351904224692,-67.69351904224692
2003-07,July,2003,210.0,210.0,134.35856791313873,256.03781360596645,-46.03781360596645
2003-08,August,2003,208.0,208.0,134.78752504872088,159.95373103601898,48.04626896398102
2003-09,September,2003,148.0,148.0,135.21648218430303,197.24616521710254,-49.24616521710254
2003-10,October,2003,150.0,150.0,135.64543931988518,271.4942594032651,-121.49425940326512
