Fecha,Mes,Año,Precipitación_imputada,Precipitación_original,xlin,xint,RESIDUALS
2000-01,January,2000,37.0,37.0,256.769027642032,250.88378724903066,-213.88378724903066
2000-02,February,2000,186.0,186.0,256.6524602716943,250.88378724903055,-64.88378724903055
2000-03,March,2000,302.0,302.0,256.5358929013566,250.88378724903043,51.11621275096957
2000-04,April,2000,398.0,398.0,256.4193255310189,250.88378724903063,147.11621275096937
2000-05,May,2000,502.0,502.0,256.30275816068126,250.88378724903083,251.11621275096917
2000-06,June,2000,233.0,233.0,256.1861907903436,250.88378724903058,-17.883787249030576
2000-07,July,2000,213.0,213.0,256.0696234200059,250.88378724903063,-37.88378724903063
2000-08,August,2000,74.0,74.0,255.9530560496682,250.88378724903066,-176.88378724903066
2000-09,September,2000,433.0,433.0,255.8364886793305,250.88378724903058,182.11621275096942
2000-10,October,2000,264.0,264.0,255.7199213089928,250.88378724903092,13.116212750969083
2000-11,November,2000,121.0,121.0,255.60335393865515,250.8837872490307,-129.8837872490307
2000-12,December,2000,154.0,154.0,255.48678656831746,250.88378724903072,-96.88378724903072
2001-01,January,2001,125.0,125.0,255.37021919797976,176.15769928918667,-51.15769928918667
2001-02,February,2001,63.0,63.0,255.2536518276421,229.29938563544113,-166.29938563544113
2001-03,March,2001,292.0,292.0,255.1370844573044,248.40001549014707,43.59998450985293
2001-04,April,2001,275.0,275.0,255.02051708696672,222.2622202406199,52.73777975938009
2001-05,May,2001,293.0,293.0,254.90394971662903,363.96942777852496,-70.96942777852496
2001-06,June,2001,95.0,95.0,254.78738234629137,167.12861258136604,-72.12861258136604
2001-07,July,2001,312.0,312.0,254.67081497595368,216.63652345971323,95.36347654028677
2001-08,August,2001,33.0,33.0,254.55424760561598,301.9833207469164,-268.9833207469164
2001-09,September,2001,375.0,375.0,254.43768023527832,282.8307005574854,92.16929944251461
2001-10,October,2001,306.0,306.0,254.32111286494063,324.79272803286665,-18.79272803286665
2001-11,November,2001,197.0,197.0,254.20454549460294,273.8157876622626,-76.81578766226261
2001-12,December,2001,158.0,158.0,254.08797812426525,226.4909499321899,-68.49094993218989
2002-01,January,2002,102.0,102.0,253.9714107539276,167.91438035697087,-65.91438035697087
2002-02,February,2002,27.0,27.0,253.8548433835899,223.1296392274378,-196.1296392274378
2002-03,March,2002,243.0,243.0,253.7382760132522,275.04006077887476,-32.04006077887476
2002-04,April,2002,583.0,583.0,253.62170864291454,305.11001717134013,277.88998282865987
2002-05,May,2002,271.0,271.0,253.50514127257685,329.2143128600589,-58.2143128600589
2002-06,June,2002,234.0,234.0,253.38857390223916,239.6335683557956,-5.633568355795603
2002-07,July,2002,117.0,117.0,253.27200653190147,297.1000126630441,-180.10001266304408
2002-08,August,2002,278.0,278.0,253.1554391615638,273.4499390072257,4.55006099277432
2002-09,September,2002,351.0,351.0,253.03887179122611,244.49564468849596,106.50435531150404
2002-10,October,2002,248.0,248.0,252.92230442088842,355.5092390701701,-107.50923907017011
2002-11,November,2002,218.0,218.0,252.80573705055073,293.37646872013295,-75.37646872013295
2002-12,December,2002,144.0,144.0,252.68916968021307,203.39755029880587,-59.39755029880587
2003-01,January,2003,27.0,27.0,252.57260230987538,160.38619499885112,-133.38619499885112
2003-02,February,2003,152.0,152.0,252.4560349395377,192.66357461972856,-40.663574619728564
2003-03,March,2003,107.0,107.0,252.33946756920002,245.1426004539275,-138.1426004539275
2003-04,April,2003,289.0,289.0,252.22290019886233,336.541143883185,-47.541143883184986
2003-05,May,2003,433.0,433.0,252.10633282852464,279.8679291624466,153.13207083755339
2003-06,June,2003,422.0,422.0,251.98976545818695,283.32654149172464,138.67345850827536
2003-07,July,2003,240.0,240.0,251.8731980878493,291.1254467223672,-51.1254467223672
2003-08,August,2003,190.0,190.0,251.7566307175116,273.56885690034983,-83.56885690034983
2003-09,September,2003,394.0,394.0,251.6400633471739,226.57419677793243,167.42580322206757
2003-10,October,2003,408.0,408.0,251.52349597683622,312.4688974883761,95.53110251162389
2003-11,November,2003,244.0,244.0,251.40692860649855,279.3009077380867,-35.30090773808672
2003-12,December,2003,308.0,308.0,251.29036123616086,158.3860304937911,149.6139695062089
2004-01,January,2004,23.0,23.0,251.17379386582317,150.90225893143077,-127.90225893143077
