Mes,Año_Punto_Cambio,Valor_Estadística_Worsley
Enero,2004,319.3145669503142
Febrero,2007,427.86260450445224
Marzo,2006,249.00461667682725
Abril,2006,116.31675637080996
Mayo,2018,209.1046479384753
Junio,2013,124.62243931552773
Julio,2011,205.67894905248167
Agosto,2013,210.71634375104725
Septiembre,2000,283.81610254923646
Octubre,2010,347.24678225025303
Noviembre,2011,499.0370506360472
Diciembre,2012,262.70596081208083
