Fecha,Mes,Año,23110060
2000-01-01,January,2000,37.0
2000-02-01,February,2000,186.0
2000-03-01,March,2000,302.0
2000-04-01,April,2000,398.0
2000-05-01,May,2000,502.0
2000-06-01,June,2000,233.0
2000-07-01,July,2000,213.0
2000-08-01,August,2000,74.0
2000-09-01,September,2000,433.0
2000-10-01,October,2000,264.0
2000-11-01,November,2000,121.0
2000-12-01,December,2000,154.0
2001-01-01,January,2001,125.0
2001-02-01,February,2001,63.0
2001-03-01,March,2001,292.0
2001-04-01,April,2001,275.0
2001-05-01,May,2001,293.0
2001-06-01,June,2001,95.0
2001-07-01,July,2001,312.0
2001-08-01,August,2001,33.0
2001-09-01,September,2001,375.0
2001-10-01,October,2001,306.0
2001-11-01,November,2001,197.0
2001-12-01,December,2001,158.0
2002-01-01,January,2002,102.0
2002-02-01,February,2002,27.0
2002-03-01,March,2002,243.0
2002-04-01,April,2002,583.0
2002-05-01,May,2002,271.0
2002-06-01,June,2002,234.0
2002-07-01,July,2002,117.0
2002-08-01,August,2002,278.0
2002-09-01,September,2002,351.0
2002-10-01,October,2002,248.0
2002-11-01,November,2002,218.0
2002-12-01,December,2002,144.0
2003-01-01,January,2003,27.0
2003-02-01,February,2003,152.0
2003-03-01,March,2003,107.0
2003-04-01,April,2003,289.0
2003-05-01,May,2003,433.0
2003-06-01,June,2003,422.0
2003-07-01,July,2003,240.0
2003-08-01,August,2003,190.0
2003-09-01,September,2003,394.0
2003-10-01,October,2003,408.0
2003-11-01,November,2003,244.0
2003-12-01,December,2003,308.0
2004-01-01,January,2004,23.0
2004-02-01,February,2004,6.0
2004-03-01,March,2004,248.0
2004-04-01,April,2004,469.0
2004-05-01,May,2004,423.0
2004-06-01,June,2004,130.0
2004-07-01,July,2004,279.0
2004-08-01,August,2004,195.0
2004-09-01,September,2004,446.0
2004-10-01,October,2004,413.0
2004-11-01,November,2004,418.0
2004-12-01,December,2004,178.0
2005-01-01,January,2005,190.0
2005-02-01,February,2005,21.0
2005-03-01,March,2005,197.0
2005-04-01,April,2005,315.0
2005-05-01,May,2005,271.0
2005-06-01,June,2005,136.0
2005-07-01,July,2005,181.0
2005-08-01,August,2005,224.0
2005-09-01,September,2005,230.0
2005-10-01,October,2005,345.0
2005-11-01,November,2005,249.0
2005-12-01,December,2005,189.0
2006-01-01,January,2006,81.0
2006-02-01,February,2006,59.0
2006-03-01,March,2006,273.0
2006-04-01,April,2006,393.0
2006-05-01,May,2006,188.0
2006-06-01,June,2006,294.0
2006-07-01,July,2006,110.0
2006-08-01,August,2006,157.0
2006-09-01,September,2006,274.0
2006-10-01,October,2006,343.6
2006-11-01,November,2006,384.5
2006-12-01,December,2006,155.2
2007-01-01,January,2007,40.3
2007-02-01,February,2007,10.5
2007-03-01,March,2007,263.7
2007-04-01,April,2007,469.5
2007-05-01,May,2007,333.1
2007-06-01,June,2007,175.4
2007-07-01,July,2007,384.2
