Fecha,Mes,Año,23100040
2000-01-01,January,2000,49.2
2000-02-01,February,2000,61.7
2000-03-01,March,2000,78.7
2000-04-01,April,2000,212.1
2000-05-01,May,2000,414.2
2000-06-01,June,2000,246.8
2000-07-01,July,2000,331.2
2000-08-01,August,2000,404.0
2000-09-01,September,2000,322.1
2000-10-01,October,2000,418.9
2000-11-01,November,2000,190.0
2000-12-01,December,2000,94.1
2001-01-01,January,2001,38.2
2001-02-01,February,2001,19.6
2001-03-01,March,2001,225.9
2001-04-01,April,2001,144.9
2001-05-01,May,2001,180.4
2001-06-01,June,2001,330.5
2001-07-01,July,2001,333.2
2001-08-01,August,2001,108.7
2001-09-01,September,2001,339.1
2001-10-01,October,2001,545.4
2001-11-01,November,2001,197.0
2001-12-01,December,2001,146.4
2002-01-01,January,2002,36.7
2002-02-01,February,2002,34.7
2002-03-01,March,2002,141.1
2002-04-01,April,2002,190.4
2002-05-01,May,2002,199.5
2002-06-01,June,2002,168.6
2002-07-01,July,2002,44.1
2002-08-01,August,2002,216.3
2002-09-01,September,2002,447.4
2002-10-01,October,2002,232.7
2002-11-01,November,2002,237.1
2002-12-01,December,2002,91.0
2003-01-01,January,2003,6.2
2003-02-01,February,2003,
2003-03-01,March,2003,215.1
2003-04-01,April,2003,357.7
2003-05-01,May,2003,437.4
2003-06-01,June,2003,231.7
2003-07-01,July,2003,108.8
2003-08-01,August,2003,326.4
2003-09-01,September,2003,314.5
2003-10-01,October,2003,363.0
2003-11-01,November,2003,271.0
2003-12-01,December,2003,96.0
2004-01-01,January,2004,67.0
2004-02-01,February,2004,47.0
2004-03-01,March,2004,136.0
2004-04-01,April,2004,82.0
2004-05-01,May,2004,386.0
2004-06-01,June,2004,162.0
2004-07-01,July,2004,277.0
2004-08-01,August,2004,181.0
2004-09-01,September,2004,420.0
2004-10-01,October,2004,314.0
2004-11-01,November,2004,318.0
2004-12-01,December,2004,70.0
2005-01-01,January,2005,138.0
2005-02-01,February,2005,42.0
2005-03-01,March,2005,178.0
2005-04-01,April,2005,332.0
2005-05-01,May,2005,582.0
2005-06-01,June,2005,357.4
2005-07-01,July,2005,101.2
2005-08-01,August,2005,207.7
2005-09-01,September,2005,246.0
2005-10-01,October,2005,459.2
2005-11-01,November,2005,260.6
2005-12-01,December,2005,19.8
2006-01-01,January,2006,36.4
2006-02-01,February,2006,34.5
2006-03-01,March,2006,272.5
2006-04-01,April,2006,308.2
2006-05-01,May,2006,319.4
2006-06-01,June,2006,224.0
2006-07-01,July,2006,183.1
2006-08-01,August,2006,251.3
2006-09-01,September,2006,229.3
2006-10-01,October,2006,268.5
2006-11-01,November,2006,434.8
2006-12-01,December,2006,77.0
2007-01-01,January,2007,82.5
2007-02-01,February,2007,10.0
2007-03-01,March,2007,
2007-04-01,April,2007,236.4
2007-05-01,May,2007,504.6
2007-06-01,June,2007,181.7
2007-07-01,July,2007,236.9
2007-08-01,August,2007,489.7
2007-09-01,September,2007,315.7
2007-10-01,October,2007,475.7
2007-11-01,November,2007,125.2
2007-12-01,December,2007,133.0
2008-01-01,January,2008,113.4
2008-02-01,February,2008,227.9
2008-03-01,March,2008,154.8
2008-04-01,April,2008,582.3
2008-05-01,May,2008,
2008-06-01,June,2008,322.8
2008-07-01,July,2008,
2008-08-01,August,2008,430.1
2008-09-01,September,2008,316.7
2008-10-01,October,2008,370.1
2008-11-01,November,2008,536.1
2008-12-01,December,2008,0.0
2009-01-01,January,2009,133.7
2009-02-01,February,2009,74.5
2009-03-01,March,2009,421.8
2009-04-01,April,2009,290.1
2009-05-01,May,2009,407.4
2009-06-01,June,2009,422.8
2009-07-01,July,2009,122.4
2009-08-01,August,2009,406.1
2009-09-01,September,2009,161.4
2009-10-01,October,2009,238.2
2009-11-01,November,2009,273.9
2009-12-01,December,2009,89.6
2010-01-01,January,2010,14.4
2010-02-01,February,2010,59.8
2010-03-01,March,2010,247.0
2010-04-01,April,2010,362.4
2010-05-01,May,2010,586.4
2010-06-01,June,2010,477.4
2010-07-01,July,2010,387.8
2010-08-01,August,2010,256.2
2010-09-01,September,2010,592.1
2010-10-01,October,2010,381.8
2010-11-01,November,2010,242.5
2010-12-01,December,2010,176.7
2011-01-01,January,2011,17.3
2011-02-01,February,2011,166.6
2011-03-01,March,2011,366.3
2011-04-01,April,2011,547.4
2011-05-01,May,2011,328.0
2011-06-01,June,2011,175.7
2011-07-01,July,2011,178.0
2011-08-01,August,2011,444.5
2011-09-01,September,2011,371.1
2011-10-01,October,2011,366.8
2011-11-01,November,2011,494.0
2011-12-01,December,2011,117.9
2012-01-01,January,2012,85.2
2012-02-01,February,2012,37.2
2012-03-01,March,2012,372.7
2012-04-01,April,2012,481.1
2012-05-01,May,2012,350.1
2012-06-01,June,2012,276.6
2012-07-01,July,2012,131.2
2012-08-01,August,2012,296.2
2012-09-01,September,2012,178.5
2012-10-01,October,2012,409.9
2012-11-01,November,2012,189.6
2012-12-01,December,2012,58.7
2013-01-01,January,2013,42.9
2013-02-01,February,2013,101.9
2013-03-01,March,2013,224.9
2013-04-01,April,2013,285.9
2013-05-01,May,2013,391.4
2013-06-01,June,2013,236.4
2013-07-01,July,2013,210.9
2013-08-01,August,2013,410.1
2013-09-01,September,2013,252.7
2013-10-01,October,2013,230.7
2013-11-01,November,2013,292.8
2013-12-01,December,2013,151.0
2014-01-01,January,2014,55.5
2014-02-01,February,2014,106.5
2014-03-01,March,2014,148.6
2014-04-01,April,2014,259.0
2014-05-01,May,2014,292.9
2014-06-01,June,2014,311.7
2014-07-01,July,2014,101.6
2014-08-01,August,2014,231.5
2014-09-01,September,2014,155.0
2014-10-01,October,2014,473.7
2014-11-01,November,2014,335.1
2014-12-01,December,2014,48.3
2015-01-01,January,2015,194.9
2015-02-01,February,2015,167.6
2015-03-01,March,2015,220.2
2015-04-01,April,2015,424.8
2015-05-01,May,2015,333.9
2015-06-01,June,2015,155.5
2015-07-01,July,2015,404.9
2015-08-01,August,2015,162.4
2015-09-01,September,2015,176.3
2015-10-01,October,2015,455.0
2015-11-01,November,2015,252.4
2015-12-01,December,2015,74.0
2016-01-01,January,2016,71.9
2016-02-01,February,2016,87.9
2016-03-01,March,2016,165.6
2016-04-01,April,2016,425.2
2016-05-01,May,2016,276.7
2016-06-01,June,2016,145.7
2016-07-01,July,2016,371.7
2016-08-01,August,2016,357.4
2016-09-01,September,2016,663.2
2016-10-01,October,2016,358.5
2016-11-01,November,2016,359.8
2016-12-01,December,2016,345.8
2017-01-01,January,2017,83.5
2017-02-01,February,2017,87.3
2017-03-01,March,2017,595.0
2017-04-01,April,2017,239.9
2017-05-01,May,2017,645.6
2017-06-01,June,2017,426.7
2017-07-01,July,2017,111.1
2017-08-01,August,2017,534.8
2017-09-01,September,2017,438.3
2017-10-01,October,2017,213.4
2017-11-01,November,2017,326.3
2017-12-01,December,2017,143.2
2018-01-01,January,2018,129.0
2018-02-01,February,2018,74.8
2018-03-01,March,2018,300.0
2018-04-01,April,2018,365.1
2018-05-01,May,2018,452.3
2018-06-01,June,2018,155.3
2018-07-01,July,2018,220.1
2018-08-01,August,2018,287.5
2018-09-01,September,2018,539.7
2018-10-01,October,2018,381.4
2018-11-01,November,2018,174.3
2018-12-01,December,2018,112.4
2019-01-01,January,2019,89.4
2019-02-01,February,2019,25.0
2019-03-01,March,2019,106.2
2019-04-01,April,2019,247.7
2019-05-01,May,2019,688.4
2019-06-01,June,2019,245.2
2019-07-01,July,2019,272.6
2019-08-01,August,2019,98.5
2019-09-01,September,2019,265.1
2019-10-01,October,2019,407.2
2019-11-01,November,2019,172.1
2019-12-01,December,2019,258.0
