Fecha,Mes,Año,23100050
2000-01-01,January,2000,30.0
2000-02-01,February,2000,81.0
2000-03-01,March,2000,154.0
2000-04-01,April,2000,184.9
2000-05-01,May,2000,375.0
2000-06-01,June,2000,328.0
2000-07-01,July,2000,416.0
2000-08-01,August,2000,245.0
2000-09-01,September,2000,446.0
2000-10-01,October,2000,263.0
2000-11-01,November,2000,260.0
2000-12-01,December,2000,54.7
2001-01-01,January,2001,76.2
2001-02-01,February,2001,91.5
2001-03-01,March,2001,199.9
2001-04-01,April,2001,142.9
2001-05-01,May,2001,366.0
2001-06-01,June,2001,253.0
2001-07-01,July,2001,485.0
2001-08-01,August,2001,175.0
2001-09-01,September,2001,415.6
2001-10-01,October,2001,473.7
2001-11-01,November,2001,205.9
2001-12-01,December,2001,144.6
2002-01-01,January,2002,3.2
2002-02-01,February,2002,20.0
2002-03-01,March,2002,96.5
2002-04-01,April,2002,89.7
2002-05-01,May,2002,263.6
2002-06-01,June,2002,83.9
2002-07-01,July,2002,309.5
2002-08-01,August,2002,133.0
2002-09-01,September,2002,362.0
2002-10-01,October,2002,281.0
2002-11-01,November,2002,332.0
2002-12-01,December,2002,95.0
2003-01-01,January,2003,0.0
2003-02-01,February,2003,105.0
2003-03-01,March,2003,279.0
2003-04-01,April,2003,107.0
2003-05-01,May,2003,338.0
2003-06-01,June,2003,222.0
2003-07-01,July,2003,236.0
2003-08-01,August,2003,377.0
2003-09-01,September,2003,300.0
2003-10-01,October,2003,620.0
2003-11-01,November,2003,156.0
2003-12-01,December,2003,243.0
2004-01-01,January,2004,0.0
2004-02-01,February,2004,43.0
2004-03-01,March,2004,105.0
2004-04-01,April,2004,274.0
2004-05-01,May,2004,378.0
2004-06-01,June,2004,207.0
2004-07-01,July,2004,535.0
2004-08-01,August,2004,582.0
2004-09-01,September,2004,638.0
2004-10-01,October,2004,433.0
2004-11-01,November,2004,350.0
2004-12-01,December,2004,148.0
2005-01-01,January,2005,40.0
2005-02-01,February,2005,20.0
2005-03-01,March,2005,299.0
2005-04-01,April,2005,239.0
2005-05-01,May,2005,435.0
2005-06-01,June,2005,253.0
2005-07-01,July,2005,229.0
2005-08-01,August,2005,315.0
2005-09-01,September,2005,294.0
2005-10-01,October,2005,475.0
2005-11-01,November,2005,263.0
2005-12-01,December,2005,85.0
2006-01-01,January,2006,170.0
2006-02-01,February,2006,14.0
2006-03-01,March,2006,202.0
2006-04-01,April,2006,179.0
2006-05-01,May,2006,326.0
2006-06-01,June,2006,359.0
2006-07-01,July,2006,181.0
2006-08-01,August,2006,371.0
2006-09-01,September,2006,442.0
2006-10-01,October,2006,457.0
2006-11-01,November,2006,163.3
2006-12-01,December,2006,79.7
2007-01-01,January,2007,21.0
2007-02-01,February,2007,2.5
2007-03-01,March,2007,238.6
2007-04-01,April,2007,317.5
2007-05-01,May,2007,473.9
2007-06-01,June,2007,158.8
2007-07-01,July,2007,419.6
2007-08-01,August,2007,395.6
2007-09-01,September,2007,487.6
2007-10-01,October,2007,301.0
2007-11-01,November,2007,195.1
2007-12-01,December,2007,141.2
2008-01-01,January,2008,33.4
2008-02-01,February,2008,47.6
2008-03-01,March,2008,180.6
2008-04-01,April,2008,264.6
2008-05-01,May,2008,132.0
2008-06-01,June,2008,343.9
2008-07-01,July,2008,375.6
2008-08-01,August,2008,425.1
2008-09-01,September,2008,232.9
2008-10-01,October,2008,312.4
2008-11-01,November,2008,126.7
2008-12-01,December,2008,85.6
2009-01-01,January,2009,75.3
2009-02-01,February,2009,84.6
2009-03-01,March,2009,148.5
2009-04-01,April,2009,139.8
2009-05-01,May,2009,247.2
2009-06-01,June,2009,260.9
2009-07-01,July,2009,156.6
2009-08-01,August,2009,174.0
2009-09-01,September,2009,212.7
2009-10-01,October,2009,259.0
2009-11-01,November,2009,126.5
2009-12-01,December,2009,49.0
2010-01-01,January,2010,2.2
2010-02-01,February,2010,111.7
2010-03-01,March,2010,259.2
2010-04-01,April,2010,221.7
2010-05-01,May,2010,308.2
2010-06-01,June,2010,378.3
2010-07-01,July,2010,532.2
2010-08-01,August,2010,316.4
2010-09-01,September,2010,330.9
2010-10-01,October,2010,187.7
2010-11-01,November,2010,167.9
2010-12-01,December,2010,221.9
2011-01-01,January,2011,73.1
2011-02-01,February,2011,246.0
2011-03-01,March,2011,305.6
2011-04-01,April,2011,126.5
2011-05-01,May,2011,213.3
2011-06-01,June,2011,312.5
2011-07-01,July,2011,282.4
2011-08-01,August,2011,283.3
2011-09-01,September,2011,282.4
2011-10-01,October,2011,250.1
2011-11-01,November,2011,289.4
2011-12-01,December,2011,69.9
2012-01-01,January,2012,104.1
2012-02-01,February,2012,10.5
2012-03-01,March,2012,213.7
2012-04-01,April,2012,252.5
2012-05-01,May,2012,429.6
2012-06-01,June,2012,61.4
2012-07-01,July,2012,220.3
2012-08-01,August,2012,246.9
2012-09-01,September,2012,239.3
2012-10-01,October,2012,357.3
2012-11-01,November,2012,243.9
2012-12-01,December,2012,67.9
2013-01-01,January,2013,9.0
2013-02-01,February,2013,112.1
2013-03-01,March,2013,248.4
2013-04-01,April,2013,174.5
2013-05-01,May,2013,292.2
2013-06-01,June,2013,274.6
2013-07-01,July,2013,86.1
2013-08-01,August,2013,217.0
2013-09-01,September,2013,466.6
2013-10-01,October,2013,289.2
2013-11-01,November,2013,222.1
2013-12-01,December,2013,49.7
2014-01-01,January,2014,62.9
2014-02-01,February,2014,100.6
2014-03-01,March,2014,54.6
2014-04-01,April,2014,263.4
2014-05-01,May,2014,318.4
2014-06-01,June,2014,210.2
2014-07-01,July,2014,146.4
2014-08-01,August,2014,179.7
2014-09-01,September,2014,327.9
2014-10-01,October,2014,383.3
2014-11-01,November,2014,185.9
2014-12-01,December,2014,147.4
2015-01-01,January,2015,133.7
2015-02-01,February,2015,48.7
2015-03-01,March,2015,97.1
2015-04-01,April,2015,433.5
2015-05-01,May,2015,348.0
2015-06-01,June,2015,210.3
2015-07-01,July,2015,373.5
2015-08-01,August,2015,156.8
2015-09-01,September,2015,336.7
2015-10-01,October,2015,346.2
2015-11-01,November,2015,254.3
2015-12-01,December,2015,91.5
2016-01-01,January,2016,0.0
2016-02-01,February,2016,89.3
2016-03-01,March,2016,167.7
2016-04-01,April,2016,390.4
2016-05-01,May,2016,205.8
2016-06-01,June,2016,148.9
2016-07-01,July,2016,229.8
2016-08-01,August,2016,292.7
2016-09-01,September,2016,464.8
2016-10-01,October,2016,380.0
2016-11-01,November,2016,210.0
2016-12-01,December,2016,165.1
2017-01-01,January,2017,45.3
2017-02-01,February,2017,38.7
2017-03-01,March,2017,124.9
2017-04-01,April,2017,324.1
2017-05-01,May,2017,374.6
2017-06-01,June,2017,370.2
2017-07-01,July,2017,35.0
2017-08-01,August,2017,346.3
2017-09-01,September,2017,421.4
