Fecha,Mes,Año,23190140
2000-01-01,January,2000,134.0
2000-02-01,February,2000,242.0
2000-03-01,March,2000,138.0
2000-04-01,April,2000,187.0
2000-05-01,May,2000,111.0
2000-06-01,June,2000,85.0
2000-07-01,July,2000,104.0
2000-08-01,August,2000,69.0
2000-09-01,September,2000,165.0
2000-10-01,October,2000,169.0
2000-11-01,November,2000,155.0
2000-12-01,December,2000,70.0
2001-01-01,January,2001,51.0
2001-02-01,February,2001,10.0
2001-03-01,March,2001,167.0
2001-04-01,April,2001,262.0
2001-05-01,May,2001,397.0
2001-06-01,June,2001,142.0
2001-07-01,July,2001,91.0
2001-08-01,August,2001,129.0
2001-09-01,September,2001,193.0
2001-10-01,October,2001,373.0
2001-11-01,November,2001,178.0
2001-12-01,December,2001,170.0
2002-01-01,January,2002,7.0
2002-02-01,February,2002,77.0
2002-03-01,March,2002,118.0
2002-04-01,April,2002,371.0
2002-05-01,May,2002,187.0
2002-06-01,June,2002,170.0
2002-07-01,July,2002,159.0
2002-08-01,August,2002,122.0
2002-09-01,September,2002,181.0
2002-10-01,October,2002,235.0
2002-11-01,November,2002,101.0
2002-12-01,December,2002,99.0
2003-01-01,January,2003,13.0
2003-02-01,February,2003,65.0
2003-03-01,March,2003,257.0
2003-04-01,April,2003,211.0
2003-05-01,May,2003,142.0
2003-06-01,June,2003,243.0
2003-07-01,July,2003,129.0
2003-08-01,August,2003,118.0
2003-09-01,September,2003,238.0
2003-10-01,October,2003,262.0
2003-11-01,November,2003,329.0
2003-12-01,December,2003,206.0
2004-01-01,January,2004,231.0
2004-02-01,February,2004,38.0
2004-03-01,March,2004,63.0
2004-04-01,April,2004,239.0
2004-05-01,May,2004,229.0
2004-06-01,June,2004,93.0
2004-07-01,July,2004,99.0
2004-08-01,August,2004,100.0
2004-09-01,September,2004,211.0
2004-10-01,October,2004,358.0
2004-11-01,November,2004,258.0
2004-12-01,December,2004,149.0
2005-01-01,January,2005,111.0
2005-02-01,February,2005,138.0
2005-03-01,March,2005,118.0
2005-04-01,April,2005,201.0
2005-05-01,May,2005,191.0
2005-06-01,June,2005,141.0
2005-07-01,July,2005,101.0
2005-08-01,August,2005,210.0
2005-09-01,September,2005,157.0
2005-10-01,October,2005,351.0
2005-11-01,November,2005,267.0
2005-12-01,December,2005,79.0
2006-01-01,January,2006,155.0
2006-02-01,February,2006,71.0
2006-03-01,March,2006,309.0
2006-04-01,April,2006,166.9
2006-05-01,May,2006,257.4
2006-06-01,June,2006,55.8
2006-07-01,July,2006,105.0
2006-08-01,August,2006,215.7
2006-09-01,September,2006,75.7
2006-10-01,October,2006,244.9
