Fecha,Mes,Año,23050230
2000-01-01,January,2000,132.2
2000-02-01,February,2000,346.0
2000-03-01,March,2000,423.0
2000-04-01,April,2000,265.9
2000-05-01,May,2000,377.0
2000-06-01,June,2000,292.8
2000-07-01,July,2000,113.0
2000-08-01,August,2000,127.0
2000-09-01,September,2000,508.2
2000-10-01,October,2000,216.2
2000-11-01,November,2000,238.3
2000-12-01,December,2000,260.0
2001-01-01,January,2001,116.0
2001-02-01,February,2001,117.7
2001-03-01,March,2001,317.8
2001-04-01,April,2001,238.5
2001-05-01,May,2001,288.9
2001-06-01,June,2001,87.1
2001-07-01,July,2001,203.4
2001-08-01,August,2001,68.6
2001-09-01,September,2001,305.2
2001-10-01,October,2001,290.7
2001-11-01,November,2001,264.4
2001-12-01,December,2001,298.1
2002-01-01,January,2002,70.2
2002-02-01,February,2002,325.6
2002-03-01,March,2002,198.9
2002-04-01,April,2002,333.7
2002-05-01,May,2002,371.9
2002-06-01,June,2002,195.1
2002-07-01,July,2002,192.0
2002-08-01,August,2002,95.4
2002-09-01,September,2002,196.3
2002-10-01,October,2002,333.7
2002-11-01,November,2002,211.7
2002-12-01,December,2002,152.1
2003-01-01,January,2003,134.4
2003-02-01,February,2003,92.6
2003-03-01,March,2003,278.5
2003-04-01,April,2003,354.4
2003-05-01,May,2003,225.9
2003-06-01,June,2003,305.1
2003-07-01,July,2003,61.8
2003-08-01,August,2003,216.9
2003-09-01,September,2003,300.9
2003-10-01,October,2003,378.5
2003-11-01,November,2003,327.5
2003-12-01,December,2003,104.4
2004-01-01,January,2004,117.3
2004-02-01,February,2004,168.3
2004-03-01,March,2004,197.8
2004-04-01,April,2004,361.0
2004-05-01,May,2004,405.6
2004-06-01,June,2004,87.8
2004-07-01,July,2004,174.5
2004-08-01,August,2004,43.6
2004-09-01,September,2004,329.9
2004-10-01,October,2004,284.1
2004-11-01,November,2004,298.2
2004-12-01,December,2004,220.1
2005-01-01,January,2005,243.5
2005-02-01,February,2005,405.4
2005-03-01,March,2005,510.3
2005-04-01,April,2005,293.9
2005-05-01,May,2005,496.5
2005-06-01,June,2005,262.3
2005-07-01,July,2005,133.2
2005-08-01,August,2005,153.6
2005-09-01,September,2005,225.4
2005-10-01,October,2005,494.1
2005-11-01,November,2005,363.1
2005-12-01,December,2005,345.0
2006-01-01,January,2006,372.5
2006-02-01,February,2006,179.7
2006-03-01,March,2006,321.4
