Fecha,Mes,Año,23050080
2000-01-01,January,2000,235.0
2000-02-01,February,2000,347.0
2000-03-01,March,2000,451.0
2000-04-01,April,2000,237.0
2000-05-01,May,2000,297.0
2000-06-01,June,2000,357.0
2000-07-01,July,2000,169.0
2000-08-01,August,2000,88.0
2000-09-01,September,2000,414.0
2000-10-01,October,2000,342.0
2000-11-01,November,2000,364.0
2000-12-01,December,2000,120.0
2001-01-01,January,2001,231.0
2001-02-01,February,2001,195.0
2001-03-01,March,2001,150.0
2001-04-01,April,2001,258.0
2001-05-01,May,2001,436.0
2001-06-01,June,2001,89.0
2001-07-01,July,2001,294.0
2001-08-01,August,2001,38.0
2001-09-01,September,2001,324.0
2001-10-01,October,2001,377.0
2001-11-01,November,2001,321.0
2001-12-01,December,2001,290.0
2002-01-01,January,2002,139.0
2002-02-01,February,2002,266.0
2002-03-01,March,2002,111.0
2002-04-01,April,2002,491.0
2002-05-01,May,2002,468.0
2002-06-01,June,2002,172.0
2002-07-01,July,2002,154.0
2002-08-01,August,2002,167.0
2002-09-01,September,2002,281.0
2002-10-01,October,2002,387.0
2002-11-01,November,2002,114.0
2002-12-01,December,2002,193.0
2003-01-01,January,2003,179.0
2003-02-01,February,2003,163.0
2003-03-01,March,2003,294.0
2003-04-01,April,2003,260.0
2003-05-01,May,2003,239.0
2003-06-01,June,2003,236.0
2003-07-01,July,2003,74.0
2003-08-01,August,2003,127.0
2003-09-01,September,2003,311.0
2003-10-01,October,2003,306.0
2003-11-01,November,2003,182.0
2003-12-01,December,2003,79.0
2004-01-01,January,2004,77.0
2004-02-01,February,2004,286.0
2004-03-01,March,2004,250.0
2004-04-01,April,2004,305.0
2004-05-01,May,2004,374.0
2004-06-01,June,2004,90.0
2004-07-01,July,2004,231.0
2004-08-01,August,2004,79.0
2004-09-01,September,2004,264.0
2004-10-01,October,2004,249.0
2004-11-01,November,2004,353.0
2004-12-01,December,2004,126.0
2005-01-01,January,2005,259.0
2005-02-01,February,2005,538.0
2005-03-01,March,2005,338.0
2005-04-01,April,2005,364.0
2005-05-01,May,2005,
2005-06-01,June,2005,253.7
2005-07-01,July,2005,
2005-08-01,August,2005,
2005-09-01,September,2005,
2005-10-01,October,2005,
2005-11-01,November,2005,353.1
2005-12-01,December,2005,440.4
2006-01-01,January,2006,292.9
2006-02-01,February,2006,259.0
2006-03-01,March,2006,407.5
2006-04-01,April,2006,237.3
2006-05-01,May,2006,258.6
2006-06-01,June,2006,228.6
2006-07-01,July,2006,28.7
2006-08-01,August,2006,121.1
2006-09-01,September,2006,278.6
2006-10-01,October,2006,371.3
2006-11-01,November,2006,283.0
2006-12-01,December,2006,202.6
2007-01-01,January,2007,455.0
2007-02-01,February,2007,109.8
2007-03-01,March,2007,484.5
2007-04-01,April,2007,512.1
2007-05-01,May,2007,215.4
2007-06-01,June,2007,68.3
2007-07-01,July,2007,322.9
2007-08-01,August,2007,271.4
2007-09-01,September,2007,305.2
2007-10-01,October,2007,472.8
2007-11-01,November,2007,389.0
2007-12-01,December,2007,
2008-01-01,January,2008,120.0
2008-02-01,February,2008,245.8
