Fecha,Mes,Año,23060370
2000-01-01,January,2000,
2000-02-01,February,2000,
2000-03-01,March,2000,
2000-04-01,April,2000,
2000-05-01,May,2000,
2000-06-01,June,2000,
2000-07-01,July,2000,
2000-08-01,August,2000,
2000-09-01,September,2000,
2000-10-01,October,2000,
2000-11-01,November,2000,
2000-12-01,December,2000,
2001-01-01,January,2001,
2001-02-01,February,2001,
2001-03-01,March,2001,
2001-04-01,April,2001,
2001-05-01,May,2001,
2001-06-01,June,2001,
2001-07-01,July,2001,
2001-08-01,August,2001,
2001-09-01,September,2001,
2001-10-01,October,2001,
2001-11-01,November,2001,
2001-12-01,December,2001,
2002-01-01,January,2002,
2002-02-01,February,2002,
2002-03-01,March,2002,
2002-04-01,April,2002,
2002-05-01,May,2002,
2002-06-01,June,2002,
2002-07-01,July,2002,
2002-08-01,August,2002,
2002-09-01,September,2002,
2002-10-01,October,2002,
2002-11-01,November,2002,
2002-12-01,December,2002,
2003-01-01,January,2003,
2003-02-01,February,2003,
2003-03-01,March,2003,
2003-04-01,April,2003,
2003-05-01,May,2003,
2003-06-01,June,2003,
2003-07-01,July,2003,
2003-08-01,August,2003,
2003-09-01,September,2003,
2003-10-01,October,2003,
2003-11-01,November,2003,
2003-12-01,December,2003,
2004-01-01,January,2004,
2004-02-01,February,2004,
2004-03-01,March,2004,
2004-04-01,April,2004,
2004-05-01,May,2004,
2004-06-01,June,2004,
2004-07-01,July,2004,
2004-08-01,August,2004,
2004-09-01,September,2004,
2004-10-01,October,2004,
2004-11-01,November,2004,
2004-12-01,December,2004,
2005-01-01,January,2005,
2005-02-01,February,2005,
2005-03-01,March,2005,
2005-04-01,April,2005,
2005-05-01,May,2005,
2005-06-01,June,2005,
2005-07-01,July,2005,
2005-08-01,August,2005,
2005-09-01,September,2005,
2005-10-01,October,2005,
2005-11-01,November,2005,
2005-12-01,December,2005,
2006-01-01,January,2006,
2006-02-01,February,2006,
2006-03-01,March,2006,
2006-04-01,April,2006,
2006-05-01,May,2006,
2006-06-01,June,2006,
2006-07-01,July,2006,
2006-08-01,August,2006,
2006-09-01,September,2006,
2006-10-01,October,2006,
2006-11-01,November,2006,
2006-12-01,December,2006,
2007-01-01,January,2007,
2007-02-01,February,2007,
2007-03-01,March,2007,
2007-04-01,April,2007,
2007-05-01,May,2007,
2007-06-01,June,2007,
2007-07-01,July,2007,
2007-08-01,August,2007,
2007-09-01,September,2007,
2007-10-01,October,2007,
2007-11-01,November,2007,
2007-12-01,December,2007,
2008-01-01,January,2008,
2008-02-01,February,2008,
2008-03-01,March,2008,
2008-04-01,April,2008,
2008-05-01,May,2008,
2008-06-01,June,2008,
2008-07-01,July,2008,
2008-08-01,August,2008,
2008-09-01,September,2008,
2008-10-01,October,2008,
2008-11-01,November,2008,
2008-12-01,December,2008,
2009-01-01,January,2009,158.1
2009-02-01,February,2009,194.9
2009-03-01,March,2009,535.5
2009-04-01,April,2009,238.8
2009-05-01,May,2009,300.0
2009-06-01,June,2009,95.2
2009-07-01,July,2009,71.0
2009-08-01,August,2009,128.5
2009-09-01,September,2009,32.5
2009-10-01,October,2009,394.1
2009-11-01,November,2009,224.3
2009-12-01,December,2009,250.6
2010-01-01,January,2010,90.0
2010-02-01,February,2010,135.3
2010-03-01,March,2010,110.0
2010-04-01,April,2010,360.0
2010-05-01,May,2010,409.5
2010-06-01,June,2010,167.0
2010-07-01,July,2010,230.0
2010-08-01,August,2010,78.0
2010-09-01,September,2010,300.0
2010-10-01,October,2010,331.9
2010-11-01,November,2010,568.2
2010-12-01,December,2010,179.0
2011-01-01,January,2011,203.9
2011-02-01,February,2011,380.9
2011-03-01,March,2011,463.2
2011-04-01,April,2011,699.9
2011-05-01,May,2011,263.8
2011-06-01,June,2011,120.5
2011-07-01,July,2011,152.2
2011-08-01,August,2011,29.2
2011-09-01,September,2011,94.7
2011-10-01,October,2011,344.2
2011-11-01,November,2011,644.5
2011-12-01,December,2011,481.0
2012-01-01,January,2012,402.4
2012-02-01,February,2012,259.3
2012-03-01,March,2012,211.0
2012-04-01,April,2012,282.0
2012-05-01,May,2012,70.5
2012-06-01,June,2012,39.0
2012-07-01,July,2012,17.0
2012-08-01,August,2012,28.0
2012-09-01,September,2012,
2012-10-01,October,2012,154.0
2012-11-01,November,2012,240.3
2012-12-01,December,2012,70.0
2013-01-01,January,2013,210.9
2013-02-01,February,2013,204.1
2013-03-01,March,2013,111.8
2013-04-01,April,2013,346.0
2013-05-01,May,2013,320.0
2013-06-01,June,2013,16.0
2013-07-01,July,2013,10.0
2013-08-01,August,2013,96.6
2013-09-01,September,2013,172.4
2013-10-01,October,2013,289.7
2013-11-01,November,2013,522.9
2013-12-01,December,2013,145.2
2014-01-01,January,2014,418.8
2014-02-01,February,2014,386.2
2014-03-01,March,2014,272.6
2014-04-01,April,2014,41.3
2014-05-01,May,2014,206.4
2014-06-01,June,2014,23.5
2014-07-01,July,2014,0.0
2014-08-01,August,2014,10.6
2014-09-01,September,2014,66.7
2014-10-01,October,2014,214.7
2014-11-01,November,2014,208.6
2014-12-01,December,2014,168.5
2015-01-01,January,2015,192.2
2015-02-01,February,2015,84.2
2015-03-01,March,2015,233.9
2015-04-01,April,2015,106.4
2015-05-01,May,2015,34.6
2015-06-01,June,2015,3.0
2015-07-01,July,2015,
2015-08-01,August,2015,0.8
2015-09-01,September,2015,25.5
2015-10-01,October,2015,147.9
2015-11-01,November,2015,187.5
2015-12-01,December,2015,0.0
2016-01-01,January,2016,233.9
2016-02-01,February,2016,172.5
2016-03-01,March,2016,226.8
2016-04-01,April,2016,247.5
2016-05-01,May,2016,163.0
2016-06-01,June,2016,40.4
2016-07-01,July,2016,11.5
2016-08-01,August,2016,10.5
2016-09-01,September,2016,60.2
2016-10-01,October,2016,278.0
2016-11-01,November,2016,154.4
2016-12-01,December,2016,232.1
2017-01-01,January,2017,115.8
2017-02-01,February,2017,159.2
2017-03-01,March,2017,340.3
2017-04-01,April,2017,149.8
2017-05-01,May,2017,216.5
2017-06-01,June,2017,108.1
2017-07-01,July,2017,0.0
2017-08-01,August,2017,99.2
2017-09-01,September,2017,79.3
2017-10-01,October,2017,255.9
2017-11-01,November,2017,439.6
2017-12-01,December,2017,235.2
2018-01-01,January,2018,207.2
2018-02-01,February,2018,170.3
2018-03-01,March,2018,211.0
2018-04-01,April,2018,264.0
2018-05-01,May,2018,342.4
2018-06-01,June,2018,30.2
2018-07-01,July,2018,50.3
2018-08-01,August,2018,41.2
2018-09-01,September,2018,127.2
2018-10-01,October,2018,595.7
2018-11-01,November,2018,300.7
2018-12-01,December,2018,80.3
2019-01-01,January,2019,149.7
2019-02-01,February,2019,351.5
2019-03-01,March,2019,218.2
2019-04-01,April,2019,358.0
2019-05-01,May,2019,280.2
2019-06-01,June,2019,68.8
2019-07-01,July,2019,13.6
2019-08-01,August,2019,4.3
2019-09-01,September,2019,132.2
2019-10-01,October,2019,184.8
2019-11-01,November,2019,284.1
2019-12-01,December,2019,140.5
