Fecha,Mes,Año,23040070
2000-01-01,January,2000,621.2
2000-02-01,February,2000,467.8
2000-03-01,March,2000,680.3
2000-04-01,April,2000,698.0
2000-05-01,May,2000,787.9
2000-06-01,June,2000,312.5
2000-07-01,July,2000,169.2
2000-08-01,August,2000,191.2
2000-09-01,September,2000,546.6
2000-10-01,October,2000,577.5
2000-11-01,November,2000,960.5
2000-12-01,December,2000,328.3
2001-01-01,January,2001,256.9
2001-02-01,February,2001,78.9
2001-03-01,March,2001,417.8
2001-04-01,April,2001,408.8
2001-05-01,May,2001,592.4
2001-06-01,June,2001,60.4
2001-07-01,July,2001,140.2
2001-08-01,August,2001,144.2
2001-09-01,September,2001,382.9
2001-10-01,October,2001,675.5
2001-11-01,November,2001,985.3
2001-12-01,December,2001,590.6
2002-01-01,January,2002,243.0
2002-02-01,February,2002,172.8
2002-03-01,March,2002,336.7
2002-04-01,April,2002,535.5
2002-05-01,May,2002,425.5
2002-06-01,June,2002,144.6
2002-07-01,July,2002,191.5
2002-08-01,August,2002,129.4
2002-09-01,September,2002,337.1
2002-10-01,October,2002,464.5
2002-11-01,November,2002,434.9
2002-12-01,December,2002,686.1
2003-01-01,January,2003,159.3
2003-02-01,February,2003,270.4
2003-03-01,March,2003,291.6
2003-04-01,April,2003,520.7
2003-05-01,May,2003,190.4
2003-06-01,June,2003,443.8
2003-07-01,July,2003,129.5
2003-08-01,August,2003,218.7
2003-09-01,September,2003,240.7
2003-10-01,October,2003,621.7
2003-11-01,November,2003,505.8
2003-12-01,December,2003,310.4
2004-01-01,January,2004,308.2
2004-02-01,February,2004,156.7
2004-03-01,March,2004,369.6
2004-04-01,April,2004,507.3
2004-05-01,May,2004,418.1
2004-06-01,June,2004,55.2
2004-07-01,July,2004,103.7
2004-08-01,August,2004,132.0
2004-09-01,September,2004,274.6
2004-10-01,October,2004,655.3
2004-11-01,November,2004,654.0
2004-12-01,December,2004,445.4
2005-01-01,January,2005,513.6
2005-02-01,February,2005,136.0
2005-03-01,March,2005,296.3
2005-04-01,April,2005,350.9
2005-05-01,May,2005,573.4
2005-06-01,June,2005,309.0
2005-07-01,July,2005,211.0
2005-08-01,August,2005,147.5
2005-09-01,September,2005,440.0
2005-10-01,October,2005,871.0
2005-11-01,November,2005,732.1
2005-12-01,December,2005,795.2
2006-01-01,January,2006,504.2
2006-02-01,February,2006,
2006-03-01,March,2006,409.9
2006-04-01,April,2006,333.5
2006-05-01,May,2006,539.5
