Fecha,Mes,Año,23200060
2000-01-01,January,2000,0.0
2000-02-01,February,2000,23.0
2000-03-01,March,2000,0.0
2000-04-01,April,2000,20.0
2000-05-01,May,2000,104.0
2000-06-01,June,2000,77.0
2000-07-01,July,2000,138.0
2000-08-01,August,2000,128.0
2000-09-01,September,2000,172.0
2000-10-01,October,2000,121.0
2000-11-01,November,2000,117.0
2000-12-01,December,2000,50.0
2001-01-01,January,2001,17.0
2001-02-01,February,2001,8.0
2001-03-01,March,2001,31.0
2001-04-01,April,2001,12.0
2001-05-01,May,2001,147.0
2001-06-01,June,2001,83.0
2001-07-01,July,2001,68.0
2001-08-01,August,2001,79.0
2001-09-01,September,2001,179.0
2001-10-01,October,2001,93.0
2001-11-01,November,2001,80.0
2001-12-01,December,2001,144.0
2002-01-01,January,2002,6.0
2002-02-01,February,2002,10.0
2002-03-01,March,2002,120.0
2002-04-01,April,2002,37.0
2002-05-01,May,2002,40.0
2002-06-01,June,2002,45.0
2002-07-01,July,2002,44.0
2002-08-01,August,2002,41.0
2002-09-01,September,2002,145.0
2002-10-01,October,2002,188.0
2002-11-01,November,2002,51.0
2002-12-01,December,2002,9.0
2003-01-01,January,2003,7.0
2003-02-01,February,2003,38.0
2003-03-01,March,2003,49.0
2003-04-01,April,2003,168.0
2003-05-01,May,2003,251.0
2003-06-01,June,2003,134.0
2003-07-01,July,2003,210.0
2003-08-01,August,2003,208.0
2003-09-01,September,2003,148.0
2003-10-01,October,2003,150.0
2003-11-01,November,2003,274.0
2003-12-01,December,2003,52.0
2004-01-01,January,2004,0.0
2004-02-01,February,2004,60.0
2004-03-01,March,2004,74.0
2004-04-01,April,2004,314.0
2004-05-01,May,2004,299.0
2004-06-01,June,2004,91.0
2004-07-01,July,2004,228.0
2004-08-01,August,2004,245.0
2004-09-01,September,2004,431.0
2004-10-01,October,2004,347.0
2004-11-01,November,2004,118.0
2004-12-01,December,2004,0.0
2005-01-01,January,2005,11.0
2005-02-01,February,2005,25.0
2005-03-01,March,2005,41.0
2005-04-01,April,2005,249.0
2005-05-01,May,2005,217.0
2005-06-01,June,2005,235.0
2005-07-01,July,2005,310.0
2005-08-01,August,2005,282.0
2005-09-01,September,2005,382.0
2005-10-01,October,2005,460.0
2005-11-01,November,2005,333.0
2005-12-01,December,2005,71.0
2006-01-01,January,2006,10.0
2006-02-01,February,2006,5.0
2006-03-01,March,2006,136.0
2006-04-01,April,2006,339.0
2006-05-01,May,2006,274.0
2006-06-01,June,2006,256.0
2006-07-01,July,2006,243.0
2006-08-01,August,2006,190.0
2006-09-01,September,2006,287.0
2006-10-01,October,2006,190.0
2006-11-01,November,2006,217.0
2006-12-01,December,2006,99.0
2007-01-01,January,2007,18.0
2007-02-01,February,2007,0.0
2007-03-01,March,2007,134.0
2007-04-01,April,2007,550.0
2007-05-01,May,2007,419.0
2007-06-01,June,2007,211.0
2007-07-01,July,2007,199.0
2007-08-01,August,2007,342.0
2007-09-01,September,2007,261.0
2007-10-01,October,2007,461.0
2007-11-01,November,2007,223.0
2007-12-01,December,2007,137.0
2008-01-01,January,2008,35.0
2008-02-01,February,2008,47.0
2008-03-01,March,2008,44.0
2008-04-01,April,2008,66.0
2008-05-01,May,2008,483.5
2008-06-01,June,2008,204.0
2008-07-01,July,2008,217.5
2008-08-01,August,2008,152.0
2008-09-01,September,2008,116.5
2008-10-01,October,2008,135.5
2008-11-01,November,2008,117.0
2008-12-01,December,2008,18.0
2009-01-01,January,2009,25.0
2009-02-01,February,2009,10.0
2009-03-01,March,2009,97.0
2009-04-01,April,2009,88.0
2009-05-01,May,2009,188.0
2009-06-01,June,2009,387.0
2009-07-01,July,2009,136.0
2009-08-01,August,2009,455.0
2009-09-01,September,2009,150.0
2009-10-01,October,2009,339.0
2009-11-01,November,2009,104.0
2009-12-01,December,2009,11.0
2010-01-01,January,2010,33.0
2010-02-01,February,2010,12.0
2010-03-01,March,2010,143.0
2010-04-01,April,2010,127.0
2010-05-01,May,2010,235.0
2010-06-01,June,2010,177.0
2010-07-01,July,2010,194.0
2010-08-01,August,2010,313.0
2010-09-01,September,2010,282.0
2010-10-01,October,2010,336.0
2010-11-01,November,2010,178.0
2010-12-01,December,2010,61.0
2011-01-01,January,2011,0.0
2011-02-01,February,2011,34.0
2011-03-01,March,2011,111.0
2011-04-01,April,2011,296.0
2011-05-01,May,2011,220.0
2011-06-01,June,2011,154.0
2011-07-01,July,2011,207.0
2011-08-01,August,2011,159.0
2011-09-01,September,2011,120.0
2011-10-01,October,2011,269.0
2011-11-01,November,2011,391.0
2011-12-01,December,2011,178.0
2012-01-01,January,2012,5.0
2012-02-01,February,2012,2.0
2012-03-01,March,2012,92.0
2012-04-01,April,2012,328.0
2012-05-01,May,2012,372.0
2012-06-01,June,2012,227.0
2012-07-01,July,2012,197.0
2012-08-01,August,2012,145.0
2012-09-01,September,2012,172.0
2012-10-01,October,2012,207.0
2012-11-01,November,2012,147.0
2012-12-01,December,2012,31.0
2013-01-01,January,2013,0.0
2013-02-01,February,2013,76.0
2013-03-01,March,2013,208.0
2013-04-01,April,2013,89.0
2013-05-01,May,2013,237.0
2013-06-01,June,2013,312.0
2013-07-01,July,2013,70.0
2013-08-01,August,2013,418.0
2013-09-01,September,2013,208.0
2013-10-01,October,2013,309.0
2013-11-01,November,2013,217.0
2013-12-01,December,2013,92.0
2014-01-01,January,2014,38.0
2014-02-01,February,2014,99.0
2014-03-01,March,2014,100.0
2014-04-01,April,2014,182.0
2014-05-01,May,2014,304.0
2014-06-01,June,2014,176.0
2014-07-01,July,2014,134.0
2014-08-01,August,2014,258.0
2014-09-01,September,2014,355.0
2014-10-01,October,2014,266.0
2014-11-01,November,2014,98.0
2014-12-01,December,2014,119.0
2015-01-01,January,2015,23.0
2015-02-01,February,2015,33.0
2015-03-01,March,2015,48.0
2015-04-01,April,2015,272.0
2015-05-01,May,2015,309.0
2015-06-01,June,2015,140.0
2015-07-01,July,2015,181.0
2015-08-01,August,2015,231.0
2015-09-01,September,2015,153.0
2015-10-01,October,2015,260.0
2015-11-01,November,2015,159.0
2015-12-01,December,2015,69.0
2016-01-01,January,2016,11.0
2016-02-01,February,2016,49.0
2016-03-01,March,2016,93.0
2016-04-01,April,2016,280.0
2016-05-01,May,2016,312.0
2016-06-01,June,2016,331.0
2016-07-01,July,2016,328.0
2016-08-01,August,2016,189.0
2016-09-01,September,2016,234.0
2016-10-01,October,2016,347.0
2016-11-01,November,2016,325.0
2016-12-01,December,2016,192.0
2017-01-01,January,2017,29.0
2017-02-01,February,2017,11.0
2017-03-01,March,2017,312.0
2017-04-01,April,2017,265.0
2017-05-01,May,2017,333.0
2017-06-01,June,2017,
2017-07-01,July,2017,
2017-08-01,August,2017,
2017-09-01,September,2017,
2017-10-01,October,2017,
2017-11-01,November,2017,
2017-12-01,December,2017,
2018-01-01,January,2018,459.0
2018-02-01,February,2018,107.4
2018-03-01,March,2018,129.0
2018-04-01,April,2018,289.1
2018-05-01,May,2018,472.0
2018-06-01,June,2018,139.1
2018-07-01,July,2018,206.5
2018-08-01,August,2018,155.3
2018-09-01,September,2018,440.5
2018-10-01,October,2018,193.7
2018-11-01,November,2018,186.3
2018-12-01,December,2018,0.0
2019-01-01,January,2019,20.4
2019-02-01,February,2019,48.5
2019-03-01,March,2019,38.1
2019-04-01,April,2019,242.4
2019-05-01,May,2019,257.0
2019-06-01,June,2019,300.5
2019-07-01,July,2019,82.1
2019-08-01,August,2019,383.5
2019-09-01,September,2019,327.9
2019-10-01,October,2019,242.9
2019-11-01,November,2019,95.4
2019-12-01,December,2019,22.1
