Fecha,Mes,Año,23080920
2000-01-01,January,2000,62.4
2000-02-01,February,2000,139.7
2000-03-01,March,2000,182.6
2000-04-01,April,2000,201.4
2000-05-01,May,2000,303.9
2000-06-01,June,2000,444.3
2000-07-01,July,2000,427.1
2000-08-01,August,2000,342.4
2000-09-01,September,2000,404.1
2000-10-01,October,2000,381.7
2000-11-01,November,2000,86.7
2000-12-01,December,2000,184.7
2001-01-01,January,2001,77.8
2001-02-01,February,2001,62.9
2001-03-01,March,2001,167.0
2001-04-01,April,2001,179.7
2001-05-01,May,2001,408.5
2001-06-01,June,2001,175.1
2001-07-01,July,2001,328.3
2001-08-01,August,2001,61.3
2001-09-01,September,2001,359.6
2001-10-01,October,2001,295.4
2001-11-01,November,2001,191.7
2001-12-01,December,2001,235.9
2002-01-01,January,2002,63.2
2002-02-01,February,2002,118.1
2002-03-01,March,2002,141.6
2002-04-01,April,2002,366.5
2002-05-01,May,2002,316.1
2002-06-01,June,2002,190.3
2002-07-01,July,2002,153.7
2002-08-01,August,2002,171.1
2002-09-01,September,2002,279.7
2002-10-01,October,2002,231.8
2002-11-01,November,2002,192.9
2002-12-01,December,2002,110.4
2003-01-01,January,2003,20.5
2003-02-01,February,2003,84.3
2003-03-01,March,2003,209.4
2003-04-01,April,2003,407.9
2003-05-01,May,2003,387.6
2003-06-01,June,2003,370.1
2003-07-01,July,2003,169.5
2003-08-01,August,2003,210.5
2003-09-01,September,2003,293.3
2003-10-01,October,2003,241.5
2003-11-01,November,2003,145.8
2003-12-01,December,2003,121.8
2004-01-01,January,2004,94.6
2004-02-01,February,2004,110.0
2004-03-01,March,2004,175.3
2004-04-01,April,2004,230.2
2004-05-01,May,2004,243.2
2004-06-01,June,2004,131.4
2004-07-01,July,2004,424.1
2004-08-01,August,2004,334.2
2004-09-01,September,2004,372.5
2004-10-01,October,2004,288.1
2004-11-01,November,2004,265.3
2004-12-01,December,2004,85.3
2005-01-01,January,2005,90.4
2005-02-01,February,2005,46.2
2005-03-01,March,2005,201.5
2005-04-01,April,2005,226.9
2005-05-01,May,2005,378.4
2005-06-01,June,2005,345.6
2005-07-01,July,2005,242.3
2005-08-01,August,2005,194.6
2005-09-01,September,2005,325.8
2005-10-01,October,2005,324.9
2005-11-01,November,2005,287.9
2005-12-01,December,2005,65.7
2006-01-01,January,2006,75.0
2006-02-01,February,2006,87.0
2006-03-01,March,2006,225.7
2006-04-01,April,2006,256.0
2006-05-01,May,2006,292.2
2006-06-01,June,2006,275.6
2006-07-01,July,2006,128.6
2006-08-01,August,2006,259.5
2006-09-01,September,2006,281.6
2006-10-01,October,2006,371.0
2006-11-01,November,2006,244.1
2006-12-01,December,2006,140.9
2007-01-01,January,2007,103.9
2007-02-01,February,2007,9.8
2007-03-01,March,2007,214.3
2007-04-01,April,2007,322.3
2007-05-01,May,2007,440.6
2007-06-01,June,2007,160.1
2007-07-01,July,2007,259.8
2007-08-01,August,2007,379.0
2007-09-01,September,2007,352.3
2007-10-01,October,2007,346.4
2007-11-01,November,2007,143.0
2007-12-01,December,2007,154.0
2008-01-01,January,2008,126.3
2008-02-01,February,2008,202.3
2008-03-01,March,2008,276.6
2008-04-01,April,2008,253.3
2008-05-01,May,2008,262.3
2008-06-01,June,2008,322.1
2008-07-01,July,2008,466.2
2008-08-01,August,2008,356.0
2008-09-01,September,2008,249.0
2008-10-01,October,2008,300.5
2008-11-01,November,2008,280.4
2008-12-01,December,2008,81.7
2009-01-01,January,2009,198.9
2009-02-01,February,2009,150.0
2009-03-01,March,2009,181.6
2009-04-01,April,2009,200.7
2009-05-01,May,2009,231.0
2009-06-01,June,2009,232.0
2009-07-01,July,2009,133.0
2009-08-01,August,2009,321.0
2009-09-01,September,2009,164.0
2009-10-01,October,2009,190.0
2009-11-01,November,2009,188.0
2009-12-01,December,2009,111.0
2010-01-01,January,2010,12.0
2010-02-01,February,2010,26.0
2010-03-01,March,2010,166.0
2010-04-01,April,2010,208.0
2010-05-01,May,2010,319.0
2010-06-01,June,2010,321.0
2010-07-01,July,2010,309.0
2010-08-01,August,2010,241.0
2010-09-01,September,2010,378.0
2010-10-01,October,2010,310.0
2010-11-01,November,2010,375.0
2010-12-01,December,2010,183.0
2011-01-01,January,2011,54.0
2011-02-01,February,2011,86.0
2011-03-01,March,2011,258.0
2011-04-01,April,2011,594.4
2011-05-01,May,2011,320.0
2011-06-01,June,2011,315.3
2011-07-01,July,2011,237.0
2011-08-01,August,2011,197.5
2011-09-01,September,2011,248.0
2011-10-01,October,2011,337.0
2011-11-01,November,2011,234.0
2011-12-01,December,2011,281.0
2012-01-01,January,2012,100.0
2012-02-01,February,2012,86.0
2012-03-01,March,2012,126.0
2012-04-01,April,2012,403.0
2012-05-01,May,2012,467.0
2012-06-01,June,2012,188.0
2012-07-01,July,2012,100.0
2012-08-01,August,2012,233.0
2012-09-01,September,2012,169.0
2012-10-01,October,2012,213.0
2012-11-01,November,2012,171.0
2012-12-01,December,2012,74.0
2013-01-01,January,2013,62.0
2013-02-01,February,2013,163.0
2013-03-01,March,2013,169.0
2013-04-01,April,2013,114.1
2013-05-01,May,2013,356.0
2013-06-01,June,2013,332.0
2013-07-01,July,2013,61.0
2013-08-01,August,2013,354.0
2013-09-01,September,2013,236.0
2013-10-01,October,2013,252.0
2013-11-01,November,2013,332.0
2013-12-01,December,2013,300.0
2014-01-01,January,2014,106.5
2014-02-01,February,2014,84.0
2014-03-01,March,2014,191.0
2014-04-01,April,2014,139.0
2014-05-01,May,2014,249.0
2014-06-01,June,2014,187.0
2014-07-01,July,2014,88.0
2014-08-01,August,2014,323.0
2014-09-01,September,2014,264.0
2014-10-01,October,2014,403.0
2014-11-01,November,2014,299.0
2014-12-01,December,2014,84.0
2015-01-01,January,2015,155.0
2015-02-01,February,2015,98.0
2015-03-01,March,2015,108.0
2015-04-01,April,2015,203.0
2015-05-01,May,2015,346.0
2015-06-01,June,2015,73.0
2015-07-01,July,2015,327.0
2015-08-01,August,2015,176.0
2015-09-01,September,2015,203.0
2015-10-01,October,2015,238.0
2015-11-01,November,2015,210.0
2015-12-01,December,2015,19.0
2016-01-01,January,2016,33.0
2016-02-01,February,2016,145.0
2016-03-01,March,2016,50.0
2016-04-01,April,2016,244.0
2016-05-01,May,2016,229.8
2016-06-01,June,2016,285.0
2016-07-01,July,2016,291.0
2016-08-01,August,2016,246.0
2016-09-01,September,2016,409.0
2016-10-01,October,2016,277.0
2016-11-01,November,2016,217.0
2016-12-01,December,2016,159.0
2017-01-01,January,2017,43.0
2017-02-01,February,2017,154.0
2017-03-01,March,2017,396.0
2017-04-01,April,2017,155.0
2017-05-01,May,2017,397.0
2017-06-01,June,2017,160.0
2017-07-01,July,2017,82.0
2017-08-01,August,2017,243.0
2017-09-01,September,2017,333.0
2017-10-01,October,2017,191.0
2017-11-01,November,2017,341.0
2017-12-01,December,2017,236.8
2018-01-01,January,2018,117.0
2018-02-01,February,2018,45.9
2018-03-01,March,2018,132.0
2018-04-01,April,2018,232.7
2018-05-01,May,2018,384.0
2018-06-01,June,2018,382.0
2018-07-01,July,2018,93.0
2018-08-01,August,2018,220.0
2018-09-01,September,2018,285.0
2018-10-01,October,2018,220.0
2018-11-01,November,2018,153.0
2018-12-01,December,2018,43.0
2019-01-01,January,2019,69.0
2019-02-01,February,2019,100.0
2019-03-01,March,2019,132.0
2019-04-01,April,2019,146.0
2019-05-01,May,2019,450.0
2019-06-01,June,2019,154.0
2019-07-01,July,2019,274.0
2019-08-01,August,2019,40.0
2019-09-01,September,2019,230.0
2019-10-01,October,2019,261.0
2019-11-01,November,2019,122.0
2019-12-01,December,2019,178.0
