Fecha,Mes,Año,23120240
2000-01-01,January,2000,194.7
2000-02-01,February,2000,306.7
2000-03-01,March,2000,365.9
2000-04-01,April,2000,353.4
2000-05-01,May,2000,220.1
2000-06-01,June,2000,112.6
2000-07-01,July,2000,109.1
2000-08-01,August,2000,118.2
2000-09-01,September,2000,276.6
2000-10-01,October,2000,
2000-11-01,November,2000,
2000-12-01,December,2000,257.3
2001-01-01,January,2001,205.3
2001-02-01,February,2001,244.7
2001-03-01,March,2001,354.3
2001-04-01,April,2001,152.7
2001-05-01,May,2001,279.9
2001-06-01,June,2001,125.7
2001-07-01,July,2001,20.2
2001-08-01,August,2001,20.7
2001-09-01,September,2001,254.4
2001-10-01,October,2001,215.7
2001-11-01,November,2001,328.8
2001-12-01,December,2001,295.0
2002-01-01,January,2002,131.4
2002-02-01,February,2002,296.3
2002-03-01,March,2002,312.9
2002-04-01,April,2002,365.6
2002-05-01,May,2002,127.1
2002-06-01,June,2002,52.4
2002-07-01,July,2002,136.0
2002-08-01,August,2002,94.2
2002-09-01,September,2002,100.4
2002-10-01,October,2002,223.9
2002-11-01,November,2002,148.3
2002-12-01,December,2002,299.5
2003-01-01,January,2003,86.4
2003-02-01,February,2003,237.9
2003-03-01,March,2003,195.2
2003-04-01,April,2003,225.0
2003-05-01,May,2003,85.1
2003-06-01,June,2003,148.1
2003-07-01,July,2003,38.4
2003-08-01,August,2003,130.6
2003-09-01,September,2003,129.9
2003-10-01,October,2003,350.3
2003-11-01,November,2003,237.0
2003-12-01,December,2003,58.4
2004-01-01,January,2004,92.2
2004-02-01,February,2004,90.4
2004-03-01,March,2004,256.0
2004-04-01,April,2004,240.8
2004-05-01,May,2004,418.6
2004-06-01,June,2004,27.0
2004-07-01,July,2004,104.9
2004-08-01,August,2004,60.5
2004-09-01,September,2004,168.8
2004-10-01,October,2004,381.1
2004-11-01,November,2004,291.7
2004-12-01,December,2004,69.0
2005-01-01,January,2005,116.5
2005-02-01,February,2005,224.8
2005-03-01,March,2005,187.0
2005-04-01,April,2005,183.4
2005-05-01,May,2005,228.5
2005-06-01,June,2005,46.5
2005-07-01,July,2005,62.2
2005-08-01,August,2005,56.6
2005-09-01,September,2005,217.2
2005-10-01,October,2005,277.7
2005-11-01,November,2005,130.9
2005-12-01,December,2005,139.6
2006-01-01,January,2006,165.1
2006-02-01,February,2006,191.3
2006-03-01,March,2006,300.4
2006-04-01,April,2006,251.7
2006-05-01,May,2006,211.5
2006-06-01,June,2006,150.1
2006-07-01,July,2006,16.7
2006-08-01,August,2006,71.3
2006-09-01,September,2006,150.7
2006-10-01,October,2006,102.3
2006-11-01,November,2006,170.5
2006-12-01,December,2006,121.2
2007-01-01,January,2007,178.7
2007-02-01,February,2007,66.6
2007-03-01,March,2007,299.3
2007-04-01,April,2007,487.3
2007-05-01,May,2007,314.8
2007-06-01,June,2007,71.1
2007-07-01,July,2007,182.9
2007-08-01,August,2007,133.0
2007-09-01,September,2007,244.0
2007-10-01,October,2007,461.4
2007-11-01,November,2007,270.6
2007-12-01,December,2007,166.0
2008-01-01,January,2008,173.0
2008-02-01,February,2008,127.3
2008-03-01,March,2008,178.3
2008-04-01,April,2008,174.7
2008-05-01,May,2008,190.4
2008-06-01,June,2008,89.0
2008-07-01,July,2008,122.5
2008-08-01,August,2008,190.4
2008-09-01,September,2008,128.3
2008-10-01,October,2008,
2008-11-01,November,2008,195.9
2008-12-01,December,2008,83.1
2009-01-01,January,2009,60.8
2009-02-01,February,2009,125.9
2009-03-01,March,2009,112.9
2009-04-01,April,2009,83.7
2009-05-01,May,2009,86.8
2009-06-01,June,2009,75.2
2009-07-01,July,2009,10.2
2009-08-01,August,2009,41.8
2009-09-01,September,2009,29.5
2009-10-01,October,2009,40.5
2009-11-01,November,2009,35.0
2009-12-01,December,2009,136.8
2010-01-01,January,2010,35.2
2010-02-01,February,2010,25.8
2010-03-01,March,2010,41.8
2010-04-01,April,2010,43.1
2010-05-01,May,2010,33.5
2010-06-01,June,2010,29.1
2010-07-01,July,2010,25.4
2010-08-01,August,2010,21.9
2010-09-01,September,2010,51.1
2010-10-01,October,2010,52.6
2010-11-01,November,2010,365.3
2010-12-01,December,2010,195.8
2011-01-01,January,2011,163.5
2011-02-01,February,2011,368.0
2011-03-01,March,2011,438.0
2011-04-01,April,2011,379.2
2011-05-01,May,2011,70.6
2011-06-01,June,2011,122.5
2011-07-01,July,2011,131.5
2011-08-01,August,2011,124.5
2011-09-01,September,2011,71.7
2011-10-01,October,2011,80.9
2011-11-01,November,2011,85.6
2011-12-01,December,2011,24.3
2012-01-01,January,2012,53.4
2012-02-01,February,2012,24.2
2012-03-01,March,2012,309.2
2012-04-01,April,2012,372.5
2012-05-01,May,2012,172.0
2012-06-01,June,2012,208.0
2012-07-01,July,2012,16.7
2012-08-01,August,2012,130.8
2012-09-01,September,2012,91.0
2012-10-01,October,2012,
2012-11-01,November,2012,
2012-12-01,December,2012,78.0
2013-01-01,January,2013,78.7
2013-02-01,February,2013,422.5
2013-03-01,March,2013,198.9
2013-04-01,April,2013,422.7
2013-05-01,May,2013,367.0
2013-06-01,June,2013,154.5
2013-07-01,July,2013,
2013-08-01,August,2013,159.0
2013-09-01,September,2013,203.6
2013-10-01,October,2013,206.0
2013-11-01,November,2013,200.0
2013-12-01,December,2013,202.8
2014-01-01,January,2014,182.1
2014-02-01,February,2014,348.0
2014-03-01,March,2014,224.7
2014-04-01,April,2014,284.2
2014-05-01,May,2014,192.7
2014-06-01,June,2014,68.4
2014-07-01,July,2014,53.5
2014-08-01,August,2014,56.8
2014-09-01,September,2014,185.2
2014-10-01,October,2014,380.9
2014-11-01,November,2014,360.6
2014-12-01,December,2014,165.7
2015-01-01,January,2015,34.2
2015-02-01,February,2015,117.8
2015-03-01,March,2015,278.5
2015-04-01,April,2015,382.0
2015-05-01,May,2015,67.1
2015-06-01,June,2015,2.7
2015-07-01,July,2015,26.9
2015-08-01,August,2015,27.7
2015-09-01,September,2015,40.3
2015-10-01,October,2015,77.4
2015-11-01,November,2015,
2015-12-01,December,2015,82.0
2016-01-01,January,2016,56.7
2016-02-01,February,2016,52.4
2016-03-01,March,2016,103.6
2016-04-01,April,2016,163.9
2016-05-01,May,2016,140.4
2016-06-01,June,2016,111.2
2016-07-01,July,2016,33.1
2016-08-01,August,2016,52.0
2016-09-01,September,2016,
2016-10-01,October,2016,158.2
2016-11-01,November,2016,214.3
2016-12-01,December,2016,187.4
2017-01-01,January,2017,33.5
2017-02-01,February,2017,135.7
2017-03-01,March,2017,253.9
2017-04-01,April,2017,199.2
2017-05-01,May,2017,192.3
2017-06-01,June,2017,205.1
2017-07-01,July,2017,52.4
2017-08-01,August,2017,137.0
2017-09-01,September,2017,184.7
2017-10-01,October,2017,197.4
2017-11-01,November,2017,385.7
2017-12-01,December,2017,128.6
2018-01-01,January,2018,258.8
2018-02-01,February,2018,196.8
2018-03-01,March,2018,307.3
2018-04-01,April,2018,295.6
2018-05-01,May,2018,255.7
2018-06-01,June,2018,82.8
2018-07-01,July,2018,70.0
2018-08-01,August,2018,74.1
2018-09-01,September,2018,165.7
2018-10-01,October,2018,352.6
2018-11-01,November,2018,230.3
2018-12-01,December,2018,95.6
2019-01-01,January,2019,167.3
2019-02-01,February,2019,299.8
2019-03-01,March,2019,271.9
2019-04-01,April,2019,238.6
2019-05-01,May,2019,299.8
2019-06-01,June,2019,124.8
2019-07-01,July,2019,75.9
2019-08-01,August,2019,1.1
2019-09-01,September,2019,128.3
2019-10-01,October,2019,280.1
2019-11-01,November,2019,289.6
2019-12-01,December,2019,84.8
